# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 10.2265
200 20.6417
300 4.30445
400 8.45622
500 6.42989
600 3.78127
700 21.2463
800 6.12693
900 20.7339
1000 13.016
1100 7.37897
1200 14.1613
1300 8.48082
1400 17.1332
1500 13.6042
1600 5.12742
1700 11.2305
1800 9.81545
1900 6.96641
2000 1.43837
2100 13.9424
2200 21.9606
2300 20.3164
2400 3.19556
2500 6.61956
2600 1.34411
2700 14.3473
2800 18.2015
2900 13.8052
3000 9.07369
3100 11.4147
3200 11.1504
3300 4.15967
3400 11.9393
3500 13.3652
3600 18.4914
3700 18.6632
3800 22.5794
3900 15.1171
4000 11.1752
4100 12.1734
4200 4.85211
4300 8.05286
4400 13.2243
4500 18.5739
4600 19.1244
4700 7.18608
4800 11.3387
4900 18.904
5000 15.8337
5100 12.4339
5200 14.5348
5300 15.9158
5400 6.67932
5500 3.22512
5600 6.61739
5700 21.5774
5800 12.9805
5900 10.8484
6000 3.21099
6100 8.01854
6200 16.5994
6300 26.7049
6400 32.4656
6500 14.0121
6600 15.354
6700 8.15189
6800 11.1875
6900 16.8617
7000 14.1355
7100 14.8175
7200 11.0633
7300 16.9213
7400 10.1371
7500 15.2042
7600 25.2781
7700 18.6584
7800 11.994
7900 9.05148
8000 10.0116
8100 9.01318
8200 2.44352
8300 9.27111
8400 12.784
8500 14.6265
8600 15.2483
8700 8.45115
8800 4.9393
8900 11.5162
9000 8.55383
9100 16.3103
9200 16.6513
9300 9.3406
9400 13.0834
9500 11.6571
9600 -5.21528
9700 -0.430339
9800 12.5005
9900 19.4654
10000 15.3033
10100 18.7197
10200 15.127
10300 16.7969
10400 7.44947
10500 9.29532
10600 9.20532
10700 15.6522
10800 8.70344
10900 1.05536
11000 3.54319
11100 10.4242
11200 16.6585
11300 22.923
11400 8.58256
11500 17.9705
11600 11.171
11700 5.54089
11800 15.0149
11900 14.7185
12000 17.39
12100 6.63322
12200 8.91347
12300 3.0104
12400 21.9732
12500 11.612
12600 9.16384
12700 1.62767
12800 -0.983792
12900 15.112
13000 7.94204
13100 14.7017
13200 5.16749
13300 19.8474
13400 13.859
13500 8.87287
13600 6.44774
13700 7.96176
13800 10.0488
13900 -1.23388
14000 0.308493
14100 0.511082
14200 7.66535
14300 11.8131
14400 13.8321
14500 8.16296
14600 2.4354
14700 4.18801
14800 -1.35683
14900 -0.240725
15000 6.42089
15100 11.233
15200 21.6937
15300 10.49
15400 11.2309
15500 0.771151
15600 -15.0813
15700 -10.2942
15800 0.326247
15900 -7.48211
16000 4.34439
16100 16.1164
16200 1.29095
16300 11.2092
16400 11.8921
16500 10.3141
16600 12.5353
16700 -12.1102
16800 -2.3365
16900 -10.0329
17000 -14.0541
17100 -6.87566
17200 2.07017
17300 0.633162
17400 6.86812
17500 10.932
17600 -11.4003
17700 1.40787
17800 -3.12803
17900 11.2078
18000 4.88232
18100 0.0842772
18200 -8.21803
18300 -10.2295
18400 -5.72072
18500 16.2923
18600 14.3768
18700 -7.8949
18800 -5.9248
18900 -12.3756
19000 -3.61347
19100 1.3357
19200 4.7038
19300 -2.96005
19400 19.6174
19500 -0.78305
19600 -6.47088
19700 0.566697
19800 3.33592
19900 7.02269
20000 2.04785
20100 -11.7504
20200 -12.296
20300 -7.8562
20400 5.80197
20500 7.66927
20600 -1.48992
20700 -12.9434
20800 6.2601
20900 17.9887
21000 16.3727
21100 17.8254
21200 4.72554
21300 0.0400932
21400 3.39587
21500 -8.06466
21600 -2.79451
21700 1.34298
21800 9.00054
21900 -1.98658
22000 2.9466
22100 3.34855
22200 -1.74839
22300 5.54827
22400 20.9012
22500 5.97957
22600 2.94184
22700 5.16719
22800 9.28263
22900 -2.99913
23000 0.588093
23100 7.77108
23200 -4.0367
23300 -13.8377
23400 17.6179
23500 -1.13346
23600 4.25341
23700 2.05852
23800 -9.73332
23900 -3.79411
24000 0.199068
24100 12.7236
24200 -8.14356
24300 1.34831
24400 -5.56853
24500 10.7787
24600 8.56358
24700 8.32604
24800 6.60308
24900 11.613
25000 1.23994
25100 -1.193
25200 19.079
25300 4.99384
25400 41.335
25500 22.3119
25600 10.3555
25700 3.29743
25800 -6.85158
25900 -4.2308
26000 -4.89133
26100 6.34809
26200 -11.875
26300 -6.33162
26400 -0.904555
26500 -0.932688
26600 -0.362173
26700 8.70397
26800 6.81802
26900 9.31886
27000 5.05983
27100 8.95878
27200 -2.71775
27300 -13.7489
27400 -8.95056
27500 -8.24107
27600 1.5159
27700 11.3532
27800 7.63405
27900 8.4057
28000 -11.7937
28100 -12.1599
28200 -14.0292
28300 -3.58374
28400 2.58935
28500 -7.40516
28600 17.538
28700 1.87393
28800 10.4449
28900 4.40448
29000 17.4025
29100 -2.00572
29200 -11.9067
29300 -11.2505
29400 -3.01735
29500 -2.5182
29600 -7.79655
29700 -9.84929
29800 6.15586
29900 -9.79976
30000 5.86724
30100 12.2047
30200 4.68798
30300 10.4575
30400 1.51082
30500 14.4597
30600 -10.2726
30700 -8.20422
30800 -3.44673
30900 8.81003
31000 21.0558
31100 7.75475
31200 -10.756
31300 0.63745
31400 0.468435
31500 -15.179
31600 3.58798
31700 -7.77465
31800 7.83895
31900 -15.5342
32000 -9.91588
32100 5.25754
32200 21.6019
32300 9.22519
32400 -4.89074
32500 -16.4661
32600 -10.4813
32700 -2.05218
32800 6.31194
32900 -0.615341
33000 6.15778
33100 -6.90165
33200 1.36836
33300 18.6479
33400 3.41356
33500 -6.36236
33600 -5.45947
33700 7.89738
33800 11.3518
33900 18.7188
34000 2.5388
34100 -11.5508
34200 -8.71884
34300 12.0461
34400 2.39515
34500 9.39087
34600 -7.94493
34700 -14.2058
34800 -6.50777
34900 14.1787
35000 41.9859
35100 25.286
35200 3.93579
35300 -6.43163
35400 1.54746
35500 1.49662
35600 11.1249
35700 -5.10912
35800 2.38527
35900 -9.58916
36000 3.20443
36100 -3.544
36200 4.0165
36300 19.908
36400 -0.931785
36500 -1.64216
36600 2.65942
36700 -2.17714
36800 10.4598
36900 17.087
37000 -4.43051
37100 3.03224
37200 -8.35133
37300 3.00962
37400 8.15204
37500 -2.49835
37600 1.85327
37700 -14.5444
37800 -6.1638
37900 -4.73391
38000 -4.78166
38100 -1.80336
38200 -1.03504
38300 -7.20746
38400 9.62462
38500 21.0448
38600 5.94973
38700 6.67639
38800 1.40831
38900 14.6135
39000 0.00958619
39100 -2.67541
39200 -6.53891
39300 -13.9467
39400 -15.0033
39500 -11.9444
39600 0.114413
39700 14.4952
39800 7.47732
39900 7.89835
40000 2.77363
40100 -6.47883
40200 -2.97316
40300 7.65306
40400 2.01301
40500 1.86842
40600 0.810136
40700 6.29922
40800 24.7087
40900 -8.8041
41000 -13.0638
41100 -19.5557
41200 5.45418
41300 29.0109
41400 7.87023
41500 -8.10472
41600 -7.50467
41700 3.37187
41800 0.665192
41900 12.6795
42000 -2.95362
42100 0.477987
42200 -7.63152
42300 1.50232
42400 8.45285
42500 18.3827
42600 11.188
42700 -4.39518
42800 3.16557
42900 6.32548
43000 17.6021
43100 13.8013
43200 -13.9627
43300 -8.9638
43400 3.03326
43500 4.83488
43600 6.59478
43700 12.9435
43800 -5.5119
43900 -0.753452
44000 8.63767
44100 0.544315
44200 2.79681
44300 -0.236139
44400 -5.15651
44500 2.84541
44600 10.2056
44700 7.47554
44800 -0.980801
44900 -7.934
45000 3.24538
45100 7.6213
45200 7.1345
45300 -2.55135
45400 -6.21515
45500 15.713
45600 -1.39367
45700 -5.0834
45800 -10.1243
45900 0.822566
46000 -12.5504
46100 -6.53712
46200 -11.0452
46300 -6.23587
46400 22.3153
46500 10.4008
46600 11.0799
46700 1.41463
46800 -0.792689
46900 5.29561
47000 4.93481
47100 7.96883
47200 2.34783
47300 9.58205
47400 -2.8567
47500 -3.22382
47600 -6.04488
47700 5.78474
47800 16.0729
47900 20.4159
48000 4.63329
48100 -0.40521
48200 0.79599
48300 9.75532
48400 12.8551
48500 35.7354
48600 13.778
48700 1.77222
48800 4.55447
48900 7.8917
49000 10.5353
49100 -9.25467
49200 -2.33513
49300 -7.15178
49400 -1.32946
49500 -3.96035
49600 -5.29605
49700 9.26455
49800 -12.1828
49900 -4.34801
50000 12.9111
50100 21.4526
50200 20.5365
50300 3.24483
50400 -3.63091
50500 -3.50777
50600 11.8661
50700 9.55645
50800 -3.35227
50900 1.46327
51000 -4.81844
51100 -10.2589
51200 -4.32426
51300 16.6781
51400 37.7172
51500 9.1065
51600 -3.06804
51700 -18.8931
51800 -1.43512
51900 -12.4154
52000 3.94347
52100 9.76306
52200 5.01264
52300 3.13215
52400 -7.64838
52500 21.3398
52600 5.56608
52700 2.57757
52800 -5.42546
52900 -9.98892
53000 -4.14604
53100 -2.51041
53200 -3.62139
53300 3.57198
53400 -3.23449
53500 22.5905
53600 18.2323
53700 0.80385
53800 2.02195
53900 -0.799958
54000 -2.79494
54100 -5.42478
54200 -7.61176
54300 -3.42542
54400 -17.8579
54500 0.393367
54600 16.4373
54700 18.1959
54800 15.5312
54900 -1.57973
55000 -0.0620097
55100 16.9807
55200 4.23168
55300 -8.02876
55400 -14.1191
55500 -2.37939
55600 10.3639
55700 19.7339
55800 19.9427
55900 5.51909
56000 -17.8813
56100 2.53251
56200 -5.08167
56300 21.1592
56400 18.0267
56500 -6.05661
56600 0.857865
56700 -8.65485
56800 -11.263
56900 -9.09944
57000 -3.89513
57100 16.2962
57200 14.5177
57300 21.6063
57400 -3.46683
57500 0.587108
57600 0.574963
57700 19.0414
57800 -5.81727
57900 7.57093
58000 -2.3722
58100 0.824364
58200 -13.7789
58300 -9.12181
58400 -14.0837
58500 -3.14792
58600 -5.92643
58700 -1.83996
58800 -12.1341
58900 5.05889
59000 16.4078
59100 7.04935
59200 15.4632
59300 6.7381
59400 9.05779
59500 4.22643
59600 -2.62738
59700 -7.20409
59800 -10.3438
59900 -3.34618
60000 -13.5723
60100 -1.78777
60200 6.8968
60300 5.65393
60400 15.4123
60500 3.31194
60600 -8.79554
60700 -21.2215
60800 -16.8034
60900 -7.32028
61000 20.702
61100 30.761
61200 20.6757
61300 19.2316
61400 -3.12666
61500 -11.6167
61600 -6.13716
61700 -11.7667
61800 9.71602
61900 29.5321
62000 2.34161
62100 16.243
62200 -1.55396
62300 9.69774
62400 3.13839
62500 4.73495
62600 -15.8232
62700 6.15658
62800 -6.45297
62900 -5.27206
63000 13.5764
63100 2.50566
63200 42.8551
63300 25.5134
63400 7.90422
63500 -19.6974
63600 -9.04049
63700 14.6966
63800 -3.63384
63900 17.5514
64000 0.458215
64100 3.66887
64200 -1.70351
64300 12.0585
64400 11.611
64500 17.8384
64600 -0.325786
64700 4.02985
64800 2.56074
64900 10.3412
65000 12.9219
65100 9.09904
65200 10.3073
65300 -1.49902
65400 -0.172162
65500 3.29921
65600 2.49079
65700 -1.39802
65800 0.541716
65900 8.65343
66000 9.99666
66100 5.56761
66200 -4.42512
66300 -2.45072
66400 0.0375977
66500 -3.80383
66600 -0.578059
66700 1.4346
66800 -2.63919
66900 3.99197
67000 4.46012
67100 16.2775
67200 4.11279
67300 5.1181
67400 -1.79349
67500 5.2858
67600 3.26539
67700 6.87889
67800 15.6836
67900 -2.32156
68000 -11.3464
68100 9.00785
68200 3.74933
68300 3.88645
68400 -1.75576
68500 3.60616
68600 8.8758
68700 3.69832
68800 -0.0401132
68900 -6.91524
69000 11.0971
69100 8.54004
69200 -4.50177
69300 -9.05081
69400 3.75651
69500 22.905
69600 -3.41003
69700 -9.44917
69800 3.4298
69900 0.439399
70000 12.1568
70100 0.899231
70200 5.66024
70300 -3.57819
70400 13.3517
70500 -0.359197
70600 -13.2804
70700 19.4955
70800 10.0107
70900 7.46865
71000 12.7354
71100 -16.4604
71200 -8.51261
71300 -17.5181
71400 -13.8961
71500 -22.0276
71600 4.3746
71700 -1.69187
71800 22.0458
71900 13.9238
72000 1.75935
72100 8.04957
72200 9.53638
72300 -6.86545
72400 4.72206
72500 -13.9681
72600 -5.52452
72700 -11.955
72800 6.77535
72900 14.0594
73000 5.96508
73100 -7.96021
73200 4.52089
73300 1.38203
73400 1.62134
73500 11.4574
73600 10.9487
73700 -4.54882
73800 -9.51389
73900 -10.4311
74000 -8.0883
74100 -1.27779
74200 11.0776
74300 21.0113
74400 2.44089
74500 -18.1064
74600 -5.78747
74700 4.00824
74800 23.3283
74900 -3.44858
75000 -5.32364
75100 -12.4598
75200 4.20961
75300 -3.08237
75400 3.77334
75500 6.24504
75600 -1.2308
75700 -0.47022
75800 -6.35907
75900 -3.3474
76000 -0.772652
76100 10.4956
76200 20.049
76300 13.1987
76400 -6.99412
76500 -11.4734
76600 -12.109
76700 1.17228
76800 4.21154
76900 -5.75038
77000 -3.80039
77100 -12.8465
77200 -8.2336
77300 0.817315
77400 -8.54891
77500 -7.75718
77600 -7.91132
77700 7.95641
77800 30.4503
77900 34.2365
78000 20.983
78100 4.56121
78200 9.94375
78300 -7.89258
78400 -0.144796
78500 -2.20877
78600 2.83055
78700 8.70817
78800 -3.29633
78900 -10.9887
79000 -8.42852
79100 3.86964
79200 -6.27274
79300 10.8093
79400 19.9269
79500 3.84304
79600 -3.39826
79700 12.0816
79800 -0.142372
79900 -1.96726
80000 3.38975
80100 -2.62201
80200 -1.57278
80300 15.0208
80400 13.5437
80500 1.15407
80600 -9.37759
80700 -9.8508
80800 15.8014
80900 31.2649
81000 -5.86396
81100 -1.53825
81200 -3.99277
81300 -4.72295
81400 2.2605
81500 11.4059
81600 -5.40821
81700 -1.72189
81800 24.7378
81900 1.28924
82000 -2.99782
82100 5.26326
82200 18.4517
82300 28.2809
82400 2.09958
82500 -4.30625
82600 -1.8975
82700 -6.99762
82800 6.9026
82900 8.08011
83000 -1.7027
83100 2.12393
83200 -1.28689
83300 -6.779
83400 4.93882
83500 8.7645
83600 -1.34324
83700 -4.70969
83800 3.07521
83900 15.5375
84000 4.4643
84100 -6.53472
84200 -10.8764
84300 -5.03152
84400 7.11175
84500 -4.465
84600 -0.300365
84700 6.27341
84800 20.4195
84900 14.4005
85000 -2.56896
85100 3.17631
85200 -0.96952
85300 -1.15559
85400 -0.150092
85500 -8.85303
85600 -8.80367
85700 -8.28087
85800 6.51241
85900 -0.0646133
86000 2.97316
86100 1.98635
86200 15.1402
86300 18.7275
86400 17.1745
86500 -7.26889
86600 -25.8329
86700 -0.165268
86800 -6.802
86900 10.6087
87000 7.54206
87100 -7.97227
87200 -2.04683
87300 -11.6988
87400 4.5151
87500 -2.2552
87600 -7.66418
87700 8.53342
87800 -5.12642
87900 10.6827
88000 0.677532
88100 -15.6847
88200 -6.27311
88300 -0.498048
88400 11.2367
88500 9.99243
88600 -2.13369
88700 -8.15616
88800 -11.1631
88900 -11.8918
89000 -3.77067
89100 8.93357
89200 21.9213
89300 15.1219
89400 -5.53105
89500 1.27045
89600 -9.66127
89700 0.701169
89800 7.47007
89900 -0.752818
90000 -13.3475
90100 -17.3143
90200 -0.694808
90300 -3.78166
90400 37.6088
90500 6.00108
90600 8.82745
90700 2.37694
90800 1.89956
90900 5.6618
91000 -8.05054
91100 -11.1606
91200 -11.938
91300 -8.87603
91400 -7.89071
91500 2.3105
91600 19.3953
91700 8.76775
91800 -0.77492
91900 -6.91718
92000 0.4438
92100 9.95805
92200 -9.9308
92300 3.60614
92400 -14.9721
92500 -13.139
92600 -5.77498
92700 2.25916
92800 0.67147
92900 11.7735
93000 -11.8782
93100 -8.63303
93200 -0.279564
93300 -3.00132
93400 -1.74616
93500 13.7219
93600 8.41524
93700 12.3707
93800 -0.0569248
93900 -4.19485
94000 -6.95397
94100 2.90782
94200 -1.36462
94300 6.80292
94400 8.72676
94500 9.0021
94600 5.28078
94700 1.68409
94800 -2.91727
94900 0.297154
95000 5.27541
95100 0.482822
95200 -4.5222
95300 -9.0392
95400 -2.94142
95500 -0.025894
95600 14.6679
95700 14.5664
95800 12.2137
95900 25.7739
96000 -11.17
96100 -6.90144
96200 -9.03938
96300 -2.59609
96400 9.43853
96500 -3.44224
96600 18.0376
96700 -9.46272
96800 4.77164
96900 1.81016
97000 2.6103
97100 -9.1031
97200 11.7915
97300 9.079
97400 1.24244
97500 -11.7337
97600 -15.5465
97700 0.0279623
97800 18.4138
97900 17.2583
98000 5.25984
98100 2.63646
98200 7.45451
98300 6.33673
98400 0.709585
98500 -9.96861
98600 -19.5154
98700 -8.63002
98800 0.382138
98900 7.07885
99000 12.115
99100 6.87011
99200 8.50668
99300 -0.490877
99400 -2.29396
99500 -13.181
99600 -3.60496
99700 -8.90769
99800 8.08528
99900 -5.67983
100000 -15.9855
100100 1.93805
100200 8.60936
100300 2.47745
100400 10.7037
100500 12.2733
100600 17.3425
100700 3.19495
100800 -2.92219
100900 1.5387
101000 5.03517
101100 13.1204
101200 1.77844
101300 1.43853
101400 -8.24008
101500 0.244552
101600 5.24247
101700 9.82535
101800 1.03876
101900 -1.30296
102000 -9.73908
102100 -23.2076
102200 -12.6228
102300 0.479982
102400 7.72205
102500 -3.05073
102600 12.3098
102700 -1.09585
102800 25.1298
102900 29.6013
103000 9.22996
103100 -12.7834
103200 -7.59268
103300 -13.7953
103400 -4.11654
103500 -4.07148
103600 -2.52931
103700 11.5883
103800 12.3897
103900 -9.82754
104000 -8.42269
104100 -10.0454
104200 16.6168
104300 14.1116
104400 4.28932
104500 -2.39583
104600 -1.52901
104700 -11.6181
104800 -5.8519
104900 0.567764
105000 18.7374
105100 -3.93225
105200 -20.0208
105300 -3.35964
105400 -15.1867
105500 10.5238
105600 18.9383
105700 22.295
105800 -4.49829
105900 -6.21266
106000 -7.91965
106100 0.946192
106200 -1.13997
106300 -2.46626
106400 -9.33383
106500 0.321391
106600 -5.18125
106700 16.6436
106800 0.0889358
106900 -1.31614
107000 -3.61569
107100 -12.8
107200 -10.3104
107300 -15.4302
107400 3.7644
107500 6.81773
107600 13.4205
107700 -12.6299
107800 2.08612
107900 -0.102125
108000 2.60566
108100 14.887
108200 -11.4435
108300 -0.388694
108400 10.9476
108500 -5.60326
108600 8.18659
108700 10.2551
108800 2.78518
108900 -2.53905
109000 2.90654
109100 0.855054
109200 21.6761
109300 2.51971
109400 20.5167
109500 11.9583
