# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 10.0519
200 6.14208
300 5.76288
400 8.25632
500 11.0116
600 6.71106
700 3.22324
800 -0.331069
900 9.08222
1000 10.5068
1100 13.2352
1200 4.31086
1300 2.4671
1400 1.52291
1500 4.2645
1600 7.12821
1700 16.5646
1800 5.48954
1900 11.1983
2000 -0.140854
2100 7.91335
2200 4.29717
2300 11.0314
2400 2.58359
2500 5.98199
2600 4.35372
2700 7.9897
2800 7.08404
2900 2.24981
3000 6.31664
3100 5.27353
3200 6.58706
3300 11.9604
3400 12.1153
3500 6.15104
3600 2.34225
3700 -0.802883
3800 9.41543
3900 8.83243
4000 18.143
4100 8.48831
4200 5.40832
4300 1.99058
4400 5.86021
4500 7.92429
4600 12.8063
4700 0.23419
4800 5.47698
4900 7.94327
5000 11.0015
5100 6.64549
5200 1.59331
5300 -2.70523
5400 -1.65674
5500 3.59022
5600 10.2419
5700 10.738
5800 9.17483
5900 4.35916
6000 0.302934
6100 0.809044
6200 6.54918
6300 6.04516
6400 9.03211
6500 8.4288
6600 4.29013
6700 2.83004
6800 2.72762
6900 8.35585
7000 11.38
7100 2.3727
7200 8.18349
7300 7.51496
7400 11.3212
7500 9.77546
7600 4.519
7700 -1.32078
7800 0.768168
7900 4.07967
8000 10.6114
8100 11.5044
8200 7.76365
8300 4.32352
8400 -0.54422
8500 -3.06252
8600 4.17619
8700 8.72217
8800 12.8796
8900 11.4853
9000 1.47908
9100 0.698135
9200 0.171833
9300 7.01012
9400 9.67409
9500 7.17729
9600 5.94139
9700 4.53687
9800 4.99562
9900 12.2418
10000 3.6371
10100 5.05302
10200 3.76516
10300 7.20207
10400 7.80212
10500 10.2619
10600 6.64986
10700 9.47614
10800 2.02847
10900 3.35577
11000 1.57379
11100 8.25754
11200 8.76894
11300 10.8113
11400 0.707661
11500 4.64359
11600 5.78867
11700 7.42119
11800 6.79983
11900 6.3695
12000 4.91879
12100 11.3484
12200 5.77542
12300 13.6591
12400 5.27771
12500 6.8233
12600 -0.755646
12700 1.11393
12800 3.99251
12900 12.2074
13000 8.51863
13100 9.10903
13200 1.82087
13300 5.88627
13400 10.2716
13500 12.0859
13600 4.47984
13700 8.75216
13800 6.82319
13900 16.9955
14000 9.57001
14100 4.7887
14200 6.29787
14300 0.64319
14400 6.87593
14500 8.83918
14600 12.1148
14700 10.9917
14800 2.2049
14900 1.64075
15000 4.99516
15100 7.33651
15200 13.2026
15300 9.85802
15400 9.5414
15500 6.43039
15600 3.22588
15700 2.72389
15800 10.484
15900 6.17155
16000 9.32037
16100 1.8525
16200 5.89505
16300 5.77446
16400 7.52027
16500 4.75643
16600 8.83339
16700 8.02441
16800 12.1906
16900 8.41628
17000 6.42711
17100 10.0168
17200 4.19237
17300 4.04639
17400 2.4262
17500 6.61441
17600 12.2885
17700 4.52436
17800 5.42525
17900 5.4502
18000 7.92665
18100 15.9947
18200 8.41224
18300 5.16722
18400 5.55367
18500 4.82332
18600 12.3318
18700 15.8802
18800 10.3384
18900 8.51206
19000 5.19151
19100 3.97854
19200 9.77779
19300 8.71619
19400 7.48407
19500 4.37983
19600 2.28164
19700 8.55176
19800 7.54903
19900 6.85511
20000 8.34692
20100 5.29918
20200 8.87292
20300 5.35654
20400 7.4173
20500 10.5499
20600 7.74101
20700 4.02212
20800 1.91589
20900 4.26011
21000 6.33236
21100 9.29767
21200 8.50463
21300 4.4095
21400 2.92545
21500 2.41534
21600 8.93021
21700 9.26136
21800 7.35745
21900 7.88104
22000 -0.0132194
22100 6.67989
22200 0.225442
22300 5.32484
22400 7.21519
22500 6.56265
22600 6.12514
22700 3.61941
22800 1.66394
22900 13.3036
23000 7.41393
23100 9.91084
23200 3.04309
23300 5.66128
23400 12.8983
23500 12.8923
23600 7.07015
23700 6.38744
23800 3.00578
23900 7.21697
24000 8.58621
24100 9.28886
24200 9.1765
24300 9.22052
24400 5.73915
24500 7.64548
24600 8.17604
24700 9.07762
24800 7.71092
24900 2.74042
25000 10.3422
25100 10.8836
25200 11.5916
25300 13.6383
25400 2.57845
25500 0.378979
25600 1.80438
25700 6.00232
25800 14.715
25900 9.31323
26000 9.34217
26100 7.30894
26200 3.65369
26300 5.58161
26400 8.55278
26500 9.70924
26600 10.3528
26700 7.0524
26800 6.55827
26900 12.7789
27000 6.79805
27100 4.64682
27200 1.91167
27300 1.96777
27400 8.05145
27500 15.777
27600 10.0548
27700 10.6697
27800 1.42285
27900 5.73196
28000 3.41506
28100 11.5936
28200 17.0201
28300 9.96308
28400 9.50325
28500 9.13889
28600 7.72192
28700 8.4004
28800 2.12133
28900 1.97406
29000 6.94534
29100 10.1029
29200 10.8216
29300 6.63495
29400 -1.02759
29500 0.489783
29600 3.78242
29700 6.44935
29800 13.1195
29900 7.20603
30000 9.47538
30100 10.4064
30200 8.18262
30300 4.93103
30400 5.37794
30500 -0.916561
30600 6.18023
30700 -1.26327
30800 11.8609
30900 9.33319
31000 6.23035
31100 0.260539
31200 -1.24628
31300 2.4608
31400 5.63741
31500 1.14563
31600 4.58368
31700 -2.55687
31800 -6.47311
31900 -9.118
32000 -4.09903
32100 -7.63504
32200 2.26647
32300 10.3483
32400 9.6738
32500 10.0916
32600 0.380617
32700 -1.06625
32800 -9.55021
32900 -7.79593
33000 -5.5341
33100 -5.4101
33200 -3.31202
33300 4.68703
33400 1.64865
33500 -7.89126
33600 -8.35036
33700 -8.48747
33800 -3.40728
33900 -12.9579
34000 -8.28914
34100 -9.17381
34200 4.78927
34300 14.3666
34400 5.12637
34500 -10.8592
34600 -16.199
34700 -22.1472
34800 -10.0955
34900 -2.3041
35000 9.32235
35100 -2.46486
35200 3.69423
35300 -11.2385
35400 -0.501848
35500 3.00092
