# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 17833
200 12465.9
300 6998.15
400 10396
500 6317.88
600 4652.61
700 4455.93
800 5612.56
900 5780.14
1000 3729.58
1100 6747.3
1200 6828.7
1300 3664.91
1400 4533.32
1500 5982.67
1600 6008.78
1700 4638.79
1800 5110.72
1900 6363.34
2000 4386.65
2100 4651.78
2200 6533.21
2300 5525.92
2400 4652.82
2500 4881.36
2600 6065.19
2700 5612.4
2800 4567.22
2900 5908.37
3000 5356.47
3100 4729.03
3200 5362.74
3300 5732.04
3400 5536.89
3500 5034.21
3600 5385.42
3700 5293.67
3800 5067.43
3900 5302.86
4000 5527.22
4100 5362.7
4200 5378.5
4300 5493.44
4400 5127.73
4500 5078.17
4600 5130.72
4700 5582
4800 5610.78
4900 5315.89
5000 5126.17
5100 5347.02
5200 5324.87
5300 5383.19
5400 5219.5
5500 5276.06
5600 5445.39
5700 5195.77
5800 5601.04
5900 5292.7
6000 5232.24
6100 5385.16
6200 5076.7
6300 5493.32
6400 5490.45
6500 5509.98
6600 5443.53
6700 4604.01
6800 5486.73
6900 5188.57
7000 5614.93
7100 5552.04
7200 4930.02
7300 5447.37
7400 4984.3
7500 5295.39
7600 5631.85
7700 5197.41
7800 5788.1
7900 5030.76
8000 5298.56
8100 5182.51
8200 5105.37
8300 5606.05
8400 5327.2
8500 5696.29
8600 5387.53
8700 5144.21
8800 5474.45
8900 5245.66
9000 5693.7
9100 5259.74
9200 5200.32
9300 5336.35
9400 5399.4
9500 5401.49
9600 5499.17
9700 5373.22
9800 5202.61
9900 5314.41
10000 5245.84
10100 5801.09
10200 5421.85
10300 5302.47
10400 5303.88
10500 5904.42
10600 5819.02
10700 5218.92
10800 5355.78
10900 5374.68
11000 5465.67
11100 5059.82
11200 5386.37
11300 5500.59
11400 5445.69
11500 5646.35
11600 5334.4
11700 5394.19
11800 5063.34
11900 5453.9
12000 5425.93
12100 5388.56
12200 5310.36
12300 4995.47
12400 5307.92
12500 5543.44
12600 5321.48
12700 5433.29
12800 5258.02
12900 5344.77
13000 5344.99
13100 5400.08
13200 5781.81
13300 5576.05
13400 5499.6
13500 5153.53
13600 5329.09
13700 5448.26
13800 5138.43
13900 5052.27
14000 5298.99
14100 5664.3
14200 5961.69
14300 5405.58
14400 6064.65
14500 5620.33
14600 5250.08
14700 4953.08
14800 4758.1
14900 5265.24
15000 4980.65
15100 5276.54
15200 5511.84
15300 5384.61
15400 5257.12
15500 5006.24
15600 5069.7
15700 5170.79
15800 5410.29
15900 5831.32
16000 5169
16100 5064.76
16200 5293.75
16300 5191.95
16400 5424.35
16500 4706.87
16600 5183.43
16700 5319.62
16800 5097.63
16900 5315.65
17000 4973.48
17100 4982
17200 5451.9
17300 5243.57
17400 5839.85
17500 5293.61
17600 4966.14
17700 5412.54
17800 4632.33
17900 5308.8
18000 4839.13
18100 5416.33
18200 5187.16
18300 4628.42
18400 5035.71
18500 5343.14
18600 5334.9
18700 5164.61
18800 5366.38
18900 5143.82
19000 4854.18
19100 5276.24
19200 5244.8
19300 5163.53
19400 5224.42
19500 4904.13
19600 4676.64
19700 5051.19
19800 5084.83
19900 5150.12
20000 4906.7
20100 5323.85
20200 5518.5
20300 5420.76
20400 5148.45
20500 5064.27
20600 5254.33
20700 4733.61
20800 4954.93
20900 5174.1
21000 4975.82
21100 5007.65
21200 4790.39
21300 4920.02
21400 4632.21
21500 5473.31
21600 5587.33
21700 5055.01
21800 5120.74
21900 4710.38
22000 5024.06
22100 4819.47
22200 4931.47
22300 5014.65
22400 4604.72
22500 5448.78
22600 4973.72
22700 4902.59
22800 5107.29
22900 4691.13
23000 4819.85
23100 4868.88
23200 5242.9
23300 5012.34
23400 4954.05
23500 4702.46
23600 4898.54
23700 5412.07
23800 4726.05
23900 4907.81
24000 4860.62
24100 5565.47
24200 5310.86
24300 5238.14
24400 4883.44
24500 5025.24
24600 4683.24
24700 4467.85
24800 4817.73
24900 4784.87
25000 4545.78
25100 5043.92
25200 4917.8
25300 5068.46
25400 4953.48
25500 4775.51
25600 4651.65
25700 4639.67
25800 4415.27
25900 4642.97
26000 4948.56
26100 4697.79
26200 4994.67
26300 5006.36
26400 4727.05
26500 5369.12
26600 5140.33
26700 4735.98
26800 4557.75
26900 4136.78
27000 4707.61
27100 4626.2
27200 4562.81
27300 4412.67
27400 4937.8
27500 4897.69
27600 4775.17
27700 5074.35
27800 4884.88
27900 4573.1
28000 4799.85
28100 4624.33
28200 4785.32
28300 4107.89
28400 4590.55
28500 5087.65
28600 5120.3
28700 5412.71
28800 4985.81
28900 5010.35
29000 4636.98
29100 4574.9
29200 4317.07
29300 4520.28
29400 5070.55
29500 4523.44
29600 4810.11
29700 4959.84
29800 4773.7
29900 4859.48
30000 4447.5
