Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.441251198529328,0.2555770190315878
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.4927496492192733,0.142305248842599
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.818328472531472,0.1433518507770759
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.6662490690266251,0.17464054455199648
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.22756182806387093,0.16713336614371543
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.44886449080980073,0.1159315392068794
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.23674878800336205,0.24442849560498747
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.32523830710306095,0.5345726470523386
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.2040716514286418,0.12664604503147883
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.026018245977853616,0.38924305216306065
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.5279767499067488,0.36184938496572994
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1876745476953177,0.20529719802768037
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.725254648561778,0.39338871993840124
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.12206449548109283,0.11466281441623291
