Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,5.7822375699451944,0.026559331659058237
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.501774842427725,0.6323639591605706
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9260775288479053,0.14330559117025352
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.094935208461974,0.04765076351183504
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.16537750041260468,15.537750041260468
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,0.012487411577957169,0.9375629421102142
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.094935208461974,0.04765076351183504
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,5.762523327122307,0.11209193726929019
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,17.27940485710628,0.0876766178930158
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.576198463346898,0.18700319453949474
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.3160166660108947,0.011360989524408165
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,17.628533866936493,0.016639784713753946
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.15895970961317946,0.13542649723699623
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,3.5253479266739003,0.7895167140476651
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,8.283651851677206,0.08424762456507937
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,2.9018380376539583,0.0845936789735147
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,11.962553123933768,0.06523180088457413
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,0.23621854098385148,0.5368263902277423
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,0.10558241247249556,0.7424819207987913
