Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.5848469693624003,0.14727426872293534
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.01534740210266,0.0578913803377616
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,1.292231338943956,0.11292932236091822
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.592395078060058,0.026862532132903516
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,1.7487718101238938,0.1779453723903783
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.5156042925847146,0.08748834673374935
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,0.5103665571769045,0.10353104895705702
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.282073557065116,0.05833212708602622
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,5.190253615824804,0.023998384349684845
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.380955965640745,0.013975521520593883
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.139376699114852,0.20728979427089478
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,3.528531779541189,0.06228543058445017
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.10602425914211,0.22867807729971068
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.160903827561054,0.09948823700790689
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.172962086046425,0.04474098326268777
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,1.6469327420006648,0.10276474042819277
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.4570243596319314,0.008469147379922253
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.6493435314499876,0.02696148660932975
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,2.130341654526481,0.1618526530039878
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,2.2188251035083177,0.1365733762259494
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.424308316798479,0.2136026461420913
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,12.490383033964854,0.09816813645121815
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.719010241484941,0.1222108421092856
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.735777774894794,0.003906081379787095
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.462835508291715,0.015945507830078996
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,14.981196342592712,0.03969819392839143
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,3.6160363160725266,0.09243466864382271
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,3.5775193204657874,0.10502344426501682
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.45952532903013,0.01594041137974867
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.931615539175846,0.025976131554793353
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,8.0162107600092,0.06699448719400955
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,1.1551297026113636,0.10099291956824215
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.078439834710405,0.054510727361612527
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,1.9505189984324394,0.19993245158634348
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.3502234221884257,0.10112643381370763
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,5.19135094833622,0.0031617953671913266
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.65439725522344,0.2198853163338329
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.9444144435791855,0.010148589500388423
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.233162748775149,0.03528333739764488
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,1.137783593746442,0.005170450978409445
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,12.182321693351144,0.0005267527769710345
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.587253154150051,0.08222823069245169
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,2.8077674079637194,0.03390642843890727
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,1.2845431626808492,0.2021535679045134
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,3.6117030942831345,0.024154144907423673
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,0.8195886671680682,0.13579684495261027
EMC,0.455427759,EC,0.303618506,LiPF6,2.088711437,323.15,11.592831,12.284038806343544,0.05962372834931721
EMC,0.417914689,EC,0.417914689,LiPF6,1.292381815,273.15,4.923913000000001,4.980582176171995,0.011508971862824267
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,283.15,4.723978,5.117238567646309,0.08324775594770112
