Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.441251198529328,0.2555770190315878
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.4927496492192733,0.142305248842599
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.818328472531472,0.1433518507770759
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.6662490690266251,0.17464054455199648
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.22756182806387093,0.16713336614371543
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.44886449080980073,0.1159315392068794
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.23674878800336205,0.24442849560498747
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.32523830710306095,0.5345726470523386
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.2040716514286418,0.12664604503147883
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.026018245977853616,0.38924305216306065
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.5279767499067488,0.36184938496572994
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1876745476953177,0.20529719802768037
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.725254648561778,0.39338871993840124
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.12206449548109283,0.11466281441623291
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,5.7822375699451944,0.026559331659058237
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.501774842427725,0.6323639591605706
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9260775288479053,0.14330559117025352
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.094935208461974,0.04765076351183504
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.16537750041260468,15.537750041260468
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,0.012487411577957169,0.9375629421102142
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.094935208461974,0.04765076351183504
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,5.762523327122307,0.11209193726929019
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,17.27940485710628,0.0876766178930158
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.576198463346898,0.18700319453949474
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.3160166660108947,0.011360989524408165
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,17.628533866936493,0.016639784713753946
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.15895970961317946,0.13542649723699623
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,3.5253479266739003,0.7895167140476651
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,8.283651851677206,0.08424762456507937
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,2.9018380376539583,0.0845936789735147
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,11.962553123933768,0.06523180088457413
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,0.23621854098385148,0.5368263902277423
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,0.10558241247249556,0.7424819207987913
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,233.14999999999998,0.19,0.24451563157405612,0.2869243767055585
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,273.15,2.4099999999999997,2.4851242520975156,0.031171888837143547
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,313.15,6.2700000000000005,6.28442780592391,0.0023010854743077116
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,243.14999999999998,0.71,0.7126205925607878,0.0036909754377293493
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,263.15,1.9,1.961338313475004,0.03228332288158109
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,233.14999999999998,0.21000000000000002,0.10547786448191598,0.4977244548480192
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,213.14999999999998,0.01,0.0589125671184996,4.89125671184996
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,293.15,5.64,5.708963089310111,0.012227498104629683
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.5848469693624003,0.14727426872293534
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.01534740210266,0.0578913803377616
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,1.292231338943956,0.11292932236091822
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.592395078060058,0.026862532132903516
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,1.7487718101238938,0.1779453723903783
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.5156042925847146,0.08748834673374935
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,0.5103665571769045,0.10353104895705702
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.282073557065116,0.05833212708602622
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,5.190253615824804,0.023998384349684845
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.380955965640745,0.013975521520593883
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.139376699114852,0.20728979427089478
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,3.528531779541189,0.06228543058445017
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.10602425914211,0.22867807729971068
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.160903827561054,0.09948823700790689
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.172962086046425,0.04474098326268777
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,1.6469327420006648,0.10276474042819277
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.4570243596319314,0.008469147379922253
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.6493435314499876,0.02696148660932975
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,2.130341654526481,0.1618526530039878
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,2.2188251035083177,0.1365733762259494
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.424308316798479,0.2136026461420913
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,12.490383033964854,0.09816813645121815
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.719010241484941,0.1222108421092856
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.735777774894794,0.003906081379787095
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.462835508291715,0.015945507830078996
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,14.981196342592712,0.03969819392839143
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,3.6160363160725266,0.09243466864382271
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,3.5775193204657874,0.10502344426501682
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.45952532903013,0.01594041137974867
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.931615539175846,0.025976131554793353
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,8.0162107600092,0.06699448719400955
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,1.1551297026113636,0.10099291956824215
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.078439834710405,0.054510727361612527
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,1.9505189984324394,0.19993245158634348
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.3502234221884257,0.10112643381370763
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,5.19135094833622,0.0031617953671913266
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.65439725522344,0.2198853163338329
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.9444144435791855,0.010148589500388423
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.233162748775149,0.03528333739764488
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,1.137783593746442,0.005170450978409445
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,12.182321693351144,0.0005267527769710345
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.587253154150051,0.08222823069245169
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,2.8077674079637194,0.03390642843890727
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,1.2845431626808492,0.2021535679045134
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,3.6117030942831345,0.024154144907423673
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,0.8195886671680682,0.13579684495261027
