Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,4.923876160851867,0.17106461938520764
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.9894513758950123,1.16244714771197
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9438158505286192,0.1652047537390361
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.074350261826769,0.15451829719091414
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.26420424932626607,25.420424932626606
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.1531084124111879,4.765542062055939
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.074350261826769,0.15451829719091414
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,4.7908378347942655,0.2618123521118235
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,17.857632801056084,0.05714715939513799
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.53629057183609,0.18252419436993159
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,1.9814850812752696,0.1347226719321967
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,17.929427015127505,0.03399233074553086
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.4087608801980774,1.9197205728434104
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,4.157928841488131,1.1106237774051426
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,7.887773955227181,0.03243114597214416
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,2.3383335293875143,0.262355353505516
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,10.23334062069723,0.08874972211066516
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,1.5813755823077698,2.1007364358975877
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,1.122069841503575,1.7367557109843297
