Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,2.2461488244361125,0.6259921619022649
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.046708529584762,0.05562132271959605
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.658825179412019,0.8251885576094697
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.329024654752763,0.05358115920806972
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.857737454733108,0.9249273065941267
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,2.24710763790452,0.35293355644600727
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,1.9943215065726596,3.3121863553902497
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.578598088154646,0.07886739257531476
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.828979152266485,0.09193426691446896
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.362318896862749,0.011415212040120805
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.160677882945516,0.20924701815095761
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.3223308539237815,0.1486683042105706
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.0919184269785105,0.22044857725181286
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.75817733883295,0.14586205663951451
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.7341533634696304,0.08372484432424498
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.821291297468187,0.5370160329294903
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.989427782363535,0.20638196616703272
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.204969575219691,0.19016907695274188
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.8128944471018642,0.011277736363993096
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.3747814223434487,0.3132518308279853
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.828801139453955,0.24542861524474086
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,13.347853208541604,0.03625699062220336
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.391917845126493,0.08444293936563381
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.632124748857173,0.006782114838178653
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.237967241259588,0.03524986129125914
