Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.2564245463430127,0.2703458515762245
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3607871963065226,0.04132287534733866
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.6583344311021202,0.0427487495525323
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.7044561974667292,0.2420022028913021
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.13243811794364127,0.3207430801710924
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.2651868799549322,0.3407132682924271
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.16162840514096005,0.15042862625450046
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6554124310974788,0.06208196810584095
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.19613768079286317,0.08284389722888935
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.04377359519654622,0.02754918301751698
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.310320433552819,0.1995676104092718
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1037137018575336,0.12009054572660224
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.4388906192881948,0.1567854967690596
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.08367225382303642,0.23592565088362108
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,4.923876160851867,0.17106461938520764
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.9894513758950123,1.16244714771197
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9438158505286192,0.1652047537390361
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.074350261826769,0.15451829719091414
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.26420424932626607,25.420424932626606
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.1531084124111879,4.765542062055939
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.074350261826769,0.15451829719091414
