Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,4.939918648294737,0.16836386392344507
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.969843192419827,1.1411339048041595
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9171439348616824,0.13227646279220062
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.116771149387471,0.1500763194358668
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.24453593003399668,23.453593003399668
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.1400160566803885,4.700080283401943
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.116771149387471,0.1500763194358668
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,4.806295479281905,0.2594305887084892
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,17.819581244430914,0.05915621729509418
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.574478138590447,0.18681011656458435
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,1.961430628462464,0.14348007490722095
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,17.896009319294677,0.032065127987005615
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.38578297248706006,1.755592660621858
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,4.173419837129135,1.1184872269691042
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,7.931086276253472,0.03810029793893619
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,2.329082806315449,0.2652735626765144
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,10.195741986935188,0.09209777498350959
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,1.573012335173272,2.084337912104455
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,1.1022956775479325,1.6885260427998356
