Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,2.2074667750835286,0.5979901397880766
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.047735671669576,0.05554697361604737
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.6341611705480257,0.8082575961036463
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.363066565066728,0.050127646489430716
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.831404647976226,0.9071899393277129
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,2.2084650130480217,0.32966769103055954
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,1.9602900553784546,3.238602452789722
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.538689234389373,0.07610357770835653
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.829715285174079,0.09179584074875045
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.3912567347115194,0.015390612972056664
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.161896769867727,0.20935901355037834
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.32389212488194,0.14908321517517048
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.055615789492306,0.19926921303801812
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.716017501923826,0.1425886607235325
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.736527325462992,0.08426828290642945
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.7953205316464778,0.5228673757202025
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.961291859758375,0.19502772980361058
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.1846971131036104,0.1976146521173201
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.7817535585093036,0.02826145536103362
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.3625836858909772,0.3085052420201561
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.786238216150696,0.24207971458174513
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,13.311068555872549,0.03891291972992735
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.425437226563783,0.0883132731069405
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.654011560605051,0.004525253196125938
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.2652688709927,0.032906087679311705
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.433069115688355,0.0710582599290781
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,4.390067313598747,0.3262758755322008
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,4.361355045844903,0.09106622986999154
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.209561573758016,0.04501760195673476
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.774651301370984,0.013522810389498117
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,7.514114909104035,0.12543334451404783
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,2.176799340921295,0.6941457013384712
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.686611860743601,0.08647949189804482
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,2.146256333819539,0.320347367260981
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.850318646845759,0.2654940003608032
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,4.823227475772969,0.07384850969744744
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.188971826091833,0.005989055806609281
