Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.25684720616725454,0.26914317617510436
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3639347256031953,0.04373147697612187
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.6621583739203125,0.04515321726257098
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.7004458144531492,0.23493163618294494
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.13158503553617412,0.32511842268919544
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.26349788273679486,0.3449123201308822
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.16188568007193505,0.14907630568715907
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6511296585400604,0.06821076490235263
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.19585740317803638,0.08129653058563031
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.043486202399236396,0.020802873221511656
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.3108405694363264,0.19822598554950627
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1048626691651036,0.12125656134858116
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.43831163093133224,0.15789787274214404
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.08312235994819134,0.24094714588713753
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,4.939918648294737,0.16836386392344507
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.969843192419827,1.1411339048041595
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9171439348616824,0.13227646279220062
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.116771149387471,0.1500763194358668
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.24453593003399668,23.453593003399668
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.1400160566803885,4.700080283401943
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.116771149387471,0.1500763194358668
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,4.806295479281905,0.2594305887084892
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,17.819581244430914,0.05915621729509418
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.574478138590447,0.18681011656458435
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,1.961430628462464,0.14348007490722095
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,17.896009319294677,0.032065127987005615
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.38578297248706006,1.755592660621858
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,4.173419837129135,1.1184872269691042
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,7.931086276253472,0.03810029793893619
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,2.329082806315449,0.2652735626765144
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,10.195741986935188,0.09209777498350959
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,1.573012335173272,2.084337912104455
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,1.1022956775479325,1.6885260427998356
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,233.14999999999998,0.19,0.7046549577912827,2.7087103041646454
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,273.15,2.4099999999999997,2.3614226848398845,0.02015656230710175
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,313.15,6.2700000000000005,5.702254699047173,0.09054948978513995
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,243.14999999999998,0.71,1.403918102484003,0.9773494401183143
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,263.15,1.9,2.3601508182029782,0.24218464115946228
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,233.14999999999998,0.21000000000000002,0.8385098799384705,2.9929041901831925
