Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,6.373149536519936,0.07292079739392851
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,2.3172728944543053,1.518774885276419
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,1.7739573646420466,1.1900708205457367
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.3863181061287,0.017139465326837612
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.08079092224852502,7.079092224852502
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,0.8408335821728343,3.2041679108641716
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.3863181061287,0.017139465326837612
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,6.204580147098444,0.043978405685910105
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,16.45297018728084,0.1313109721604624
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.809743347145826,0.2132147415427414
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,3.1364418584276295,0.3696252656889211
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,18.138929559824266,0.04607436907867741
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.9052944790866349,5.466389136333107
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,3.888553007382125,0.9738847753208757
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,8.902323543180348,0.16522559465711364
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,3.2841217811856227,0.036000561888209076
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,9.945806647992057,0.114353815851108
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,1.0535781069820622,1.0658394254550239
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,0.27366564113793856,0.3325228264928327
