Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.9009941605639282,0.3761339281135601
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.295396656301154,0.037620172189467505
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,1.6988159604132083,0.16617650398369535
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.331907104108666,0.05328873803018532
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.0277406220566476,0.36585440612197095
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.8512991809959942,0.1146260832107569
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,1.1072729040267664,1.394181225394913
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,16.318734297439025,0.13012417561462886
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.9214011587796005,0.0745547640317163
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,6.906832883759723,0.051158209320398454
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.453325933201368,0.23613649795489441
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,3.3761247342484957,0.10278791597544674
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.158774407233285,0.2594531029208977
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.686501952741317,0.14029699915092603
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,3.972425096067809,0.09064716786642245
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,1.9445916540437143,0.05939735909165482
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.6165568748391372,0.055910112924897136
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.3322336542392597,0.1434281206414024
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.977758395783207,0.07863629960912757
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,2.3983683834193705,0.06670646884789407
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,16.43266992092304,0.2929417183325036
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,12.68268838372843,0.084283286685115
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.502490666893278,0.09721029080844346
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.474920713341568,0.022992230857724415
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.45258828954298,0.016825204798132466
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.755805788703423,0.09345625327853
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,3.4438805303441633,0.040424972861356614
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,3.4132243638503788,0.1461245876061917
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,7.797817046049733,0.0929140423353471
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,13.177924128299189,0.04551790749701193
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,7.6850807707693605,0.10553465469526967
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,1.5696112399954956,0.22158716470645104
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,3.8759953774846707,0.10144265975963553
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,2.118288362542841,0.3031418561293717
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.352523090728452,0.10188227170847663
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,4.920032285791015,0.0552601433977011
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.3379552882422168,0.07445760831742466
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.7157428197449063,0.06830243113588104
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.128973345039647,0.04423124068171352
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,1.4753472187697323,0.30338971083019395
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,12.136441801021107,0.003241335182467946
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.350062627474404,0.104934084583028
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,2.8520139296063114,0.01868213314948803
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,1.6740703011037965,0.5666967400261073
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,3.5809667249467942,0.03245880280273595
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,1.2986939344795019,0.3693886220951648
