Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.2104287918095507,0.4012264306153642
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3747024314345229,0.05197130935226854
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.6264363216067057,0.022691447981987408
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.8992394068652594,0.5854176998791585
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.11908384994330291,0.38923528686599357
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.27451113090175105,0.3175320500760727
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.10701411477715293,0.43749906817372713
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6666115957864014,0.046055573113142706
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.08625846379081914,0.5237811993970191
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.012492078228106128,0.7067587270397623
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.2479760611801246,0.3603770498151244
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.173552306473436,0.19096541175876072
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.3341075205651547,0.35809904655520647
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.06091410927294568,0.443747404089695
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,6.373149536519936,0.07292079739392851
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,2.3172728944543053,1.518774885276419
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,1.7739573646420466,1.1900708205457367
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.3863181061287,0.017139465326837612
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.08079092224852502,7.079092224852502
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,0.8408335821728343,3.2041679108641716
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.3863181061287,0.017139465326837612
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,6.204580147098444,0.043978405685910105
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,16.45297018728084,0.1313109721604624
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.809743347145826,0.2132147415427414
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,3.1364418584276295,0.3696252656889211
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,18.138929559824266,0.04607436907867741
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.9052944790866349,5.466389136333107
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,3.888553007382125,0.9738847753208757
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,8.902323543180348,0.16522559465711364
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,3.2841217811856227,0.036000561888209076
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,9.945806647992057,0.114353815851108
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,1.0535781069820622,1.0658394254550239
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,0.27366564113793856,0.3325228264928327
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,233.14999999999998,0.19,0.353455639637824,0.8602928401990737
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,273.15,2.4099999999999997,2.5069370391408086,0.04022283781776302
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,313.15,6.2700000000000005,6.0685511192574895,0.03212900809290446
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,243.14999999999998,0.71,1.377467664652686,0.9400953023277269
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,263.15,1.9,1.8618474669479355,0.020080280553718133
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,233.14999999999998,0.21000000000000002,0.5147934262330995,1.4513972677766642
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,213.14999999999998,0.01,0.2605304425820507,25.05304425820507
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,293.15,5.64,4.877637590815787,0.13517063992627878
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.9009941605639282,0.3761339281135601
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.295396656301154,0.037620172189467505
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,1.6988159604132083,0.16617650398369535
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.331907104108666,0.05328873803018532
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.0277406220566476,0.36585440612197095
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.8512991809959942,0.1146260832107569
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,1.1072729040267664,1.394181225394913
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,16.318734297439025,0.13012417561462886
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.9214011587796005,0.0745547640317163
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,6.906832883759723,0.051158209320398454
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.453325933201368,0.23613649795489441
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,3.3761247342484957,0.10278791597544674
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.158774407233285,0.2594531029208977
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.686501952741317,0.14029699915092603
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,3.972425096067809,0.09064716786642245
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,1.9445916540437143,0.05939735909165482
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.6165568748391372,0.055910112924897136
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.3322336542392597,0.1434281206414024
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.977758395783207,0.07863629960912757
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,2.3983683834193705,0.06670646884789407
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,16.43266992092304,0.2929417183325036
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,12.68268838372843,0.084283286685115
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.502490666893278,0.09721029080844346
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.474920713341568,0.022992230857724415
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.45258828954298,0.016825204798132466
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.755805788703423,0.09345625327853
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,3.4438805303441633,0.040424972861356614
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,3.4132243638503788,0.1461245876061917
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,7.797817046049733,0.0929140423353471
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,13.177924128299189,0.04551790749701193
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,7.6850807707693605,0.10553465469526967
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,1.5696112399954956,0.22158716470645104
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,3.8759953774846707,0.10144265975963553
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,2.118288362542841,0.3031418561293717
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.352523090728452,0.10188227170847663
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,4.920032285791015,0.0552601433977011
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.3379552882422168,0.07445760831742466
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.7157428197449063,0.06830243113588104
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.128973345039647,0.04423124068171352
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,1.4753472187697323,0.30338971083019395
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,12.136441801021107,0.003241335182467946
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.350062627474404,0.104934084583028
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,2.8520139296063114,0.01868213314948803
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,1.6740703011037965,0.5666967400261073
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,3.5809667249467942,0.03245880280273595
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,1.2986939344795019,0.3693886220951648
EMC,0.455427759,EC,0.303618506,LiPF6,2.088711437,323.15,11.592831,12.274865911798273,0.058832472568458236
EMC,0.417914689,EC,0.417914689,LiPF6,1.292381815,273.15,4.923913000000001,4.78276813589579,0.028665182366993686
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,283.15,4.723978,4.671542219453375,0.01109992056411454
EMC,0.582460253,EC,0.249625823,LiPF6,1.327796397,313.15,11.258126,11.57440884029997,0.028093737829898983
EMC,0.543419941,EC,0.36227996,LiPF6,0.68507932,233.14999999999998,0.988032,1.5357175863540418,0.5543196843361771
EMC,0.49100357,EC,0.327335713,LiPF6,1.460631473,323.15,13.873731,13.82096924470833,0.0038029968500664668
EMC,0.362625043,EC,0.362625043,LiPF6,2.492658618,333.15,13.849841999999999,13.754645051155698,0.006873504321876057
EMC,0.394610009,EC,0.394610009,LiPF6,1.757293481,303.15,9.365354,8.75277303795928,0.06540926931760618
EMC,0.531928949,EC,0.354619299,LiPF6,0.842018941,313.15,11.808604,10.536171042541927,0.10775473184282189
EMC,0.561357709,EC,0.374238473,LiPF6,0.452935335,313.15,9.501815,7.367385568125673,0.22463386541143215
EMC,0.61944252,EC,0.265475366,LiPF6,0.855692819,263.15,4.038240999999999,3.764996548619226,0.06766422592925318
EMC,0.634160097,EC,0.271782899,LiPF6,0.683129907,323.15,11.135755000000001,11.186965967774551,0.00459878721959576
EMC,0.601239715,EC,0.257674164,LiPF6,1.080805898,283.15,6.6692160000000005,6.232790068952278,0.0654388658348631
EMC,0.602192252,EC,0.258082394,LiPF6,1.068688481,253.14999999999998,2.722753,2.8671278590685407,0.05302532365901011
EMC,0.545292448,EC,0.363528299,LiPF6,0.66013207,313.15,10.891311,9.366271486402212,0.14002350255150992
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,293.15,7.767348,6.2014794547359475,0.20159629068557924
EMC,0.56604949,EC,0.242592638,LiPF6,1.557051579,323.15,12.971319,13.695485676207436,0.055828299050191973
EMC,0.558089661,EC,0.372059774,LiPF6,0.49411749,233.14999999999998,0.7951619999999999,1.3675398720964134,0.7198254847394788
EMC,0.653303178,EC,0.279987076,LiPF6,0.470311479,263.15,3.57935,2.922308808783466,0.1835643877286473
EMC,0.652975576,EC,0.279846675,LiPF6,0.473848576,323.15,9.422562000000001,8.863220368689548,0.05936194755847217
EMC,0.603026775,EC,0.258440047,LiPF6,1.058103792,273.15,5.353728,4.924428266767026,0.08018706464597644
EMC,0.456996076,EC,0.30466405,LiPF6,2.05896287,273.15,3.63416,3.4740745204214285,0.04405020130609867
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,338.15,1.35,1.2298207756928317,0.08902164763493957
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,323.15,0.7060000000000001,0.8912007735040678,0.26232404179046415
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,338.15,1.22,1.0602746730287782,0.13092239915673917
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,353.15,2.0799999999999996,1.6542926098118877,0.20466701451351535
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,313.15,0.465,0.7853959680768593,0.6890235872620629
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,338.15,0.808,0.7177242178847254,0.11172745311296367
