Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,6.0186975043381565,0.01324873810406669
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,0.9229146481196129,0.003168095782187869
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.40765524535455555,0.49672191931536347
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.473824633784792,0.007976478137717982
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,1.2452433915534655,123.52433915534655
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,0.39149792995735727,0.9574896497867863
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.473824633784792,0.007976478137717982
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,6.2389544142633895,0.038681908433992405
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,16.261445680708846,0.14142314251801225
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.813235376741348,0.213606664056268
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.1668276749990634,0.053787041485125184
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,18.044317143194736,0.04061805900777023
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,-0.431469015862383,4.081921541874165
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,3.402808082551946,0.7273137474882975
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,8.381532003106601,0.09705916271028815
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,3.5785828951257157,0.12889050319423212
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,10.600953435559022,0.05601483209625807
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,0.8134654513537063,0.595030296771973
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,0.13334940076681912,0.6747575591053192
