Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.2482299166261573,0.2936636097743886
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3585000881357736,0.03957269863854912
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.6561595797275979,0.041381218668102314
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.7024068291465279,0.23838903293498853
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.12804744319614023,0.3432622480003066
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.27702865944657756,0.311273168918071
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.131808430857543,0.30717209281858315
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6430760726832424,0.07973572695391
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.1192327888217915,0.3417353707694305
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.014889851886202723,0.6504729604177764
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.30051062866070555,0.22487076393131245
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1014272997800985,0.11777021813951633
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.4252920808782192,0.18291156168389214
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.06815100181605951,0.377661889395665
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,5.019167672869108,0.15502227729476295
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,2.0065089927992283,1.1809880356513351
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9390425278276218,0.1593117627501504
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.238126102642816,0.13736899448766313
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.26581260033359805,25.581260033359804
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.157323034606036,4.78661517303018
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.238126102642816,0.13736899448766313
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,4.841387760530028,0.2540234575454502
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,18.089911326407645,0.04488324570181378
