Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.2557077491246114,0.2723854927550588
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3612020387715222,0.04164032759089455
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.6587522642778876,0.043011480044875414
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.7047950302833751,0.24259958723712718
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.1320912428351116,0.32252215496801345
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.26401604819028157,0.34362409799722654
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.16179228973929327,0.1495671955968122
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6570870985194953,0.05968546065799645
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.19726718589270448,0.08907970923251822
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.04430007021974672,0.03990775163724692
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.30943719221061144,0.20184581996845055
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1041119929858354,0.1204947466769998
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.4376008725340452,0.15926341067471045
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.08377184172425921,0.2350162387747086
