Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,2.2369925968335003,0.6193639482449715
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.063384652823913,0.05441423089478501
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.6782281642927583,0.8385080139851713
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.273341725317987,0.059230128470972324
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.8553637141083623,0.9233283919913257
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,2.2366384902536685,0.3466303153705449
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,2.009434215311889,3.3448635421946418
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.493262997595622,0.07295766654440859
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.836791634274832,0.09046516817156032
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.353241938594327,0.01016824436589431
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.16073669092181,0.20925242162413812
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.356135195826191,0.15765187751864937
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.1046546967293347,0.22787905928993887
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.831125596077268,0.15152594305008757
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.731202061308471,0.08304924317033298
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.823954989293184,0.5384671900806423
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.974829111399107,0.20049068038806409
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.190105150601685,0.1956284133736388
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.8194981556909358,0.0076761843183033125
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.4016576538827716,0.3237103630579819
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.73619106740309,0.23814194629389168
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,13.419412098137936,0.031090288641755247
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.339438057952478,0.07838333198844588
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.689606729244046,0.0008548524237734346
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.169237645401441,0.04115011760221368
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.478272063125992,0.07419535403934847
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,4.420756554946154,0.3355473507807398
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,4.3930238551899174,0.09898871452288756
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.24090358315365,0.04137172306013066
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.759861566398664,0.01234941368375377
