Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.2557077491246114,0.2723854927550588
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3612020387715222,0.04164032759089455
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.6587522642778876,0.043011480044875414
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.7047950302833751,0.24259958723712718
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.1320912428351116,0.32252215496801345
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.26401604819028157,0.34362409799722654
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.16179228973929327,0.1495671955968122
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6570870985194953,0.05968546065799645
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.19726718589270448,0.08907970923251822
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.04430007021974672,0.03990775163724692
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.30943719221061144,0.20184581996845055
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1041119929858354,0.1204947466769998
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.4376008725340452,0.15926341067471045
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.08377184172425921,0.2350162387747086
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,5.009772647582401,0.15660393138343423
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.927929050697563,1.0955750551060466
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.977571539454117,0.20687844377051492
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.198145991839013,0.14155539352471058
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.2586343376666017,24.86343376666017
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.173603503288699,4.868017516443494
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.198145991839013,0.14155539352471058
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,4.930944889677546,0.24022420806201142
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,18.278512492963017,0.03492542275802432
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.439189801460769,0.1716262403435206
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.0470151131322076,0.10610693749685257
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,17.215151472331,0.007200030430738082
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.42487198773708823,2.0347999124077734
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,4.135741379617424,1.099361106404784
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,7.599723256823988,0.005271825023038196
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,2.2856283427253987,0.2789815953547638
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,9.76812516447717,0.13017585356392086
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,1.6073474460559585,2.151661658933252
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,1.173759021424353,1.8628268815228124
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,233.14999999999998,0.19,0.7247096913538399,2.8142615334412624
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,273.15,2.4099999999999997,2.3529636796810127,0.02366652295393651
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,313.15,6.2700000000000005,5.654662050862116,0.09814002378594641
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,243.14999999999998,0.71,1.4401037635417127,1.0283151599179052
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,263.15,1.9,2.37822631571851,0.2516980609044791
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,233.14999999999998,0.21000000000000002,0.8708412696244934,3.1468631886880636
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,213.14999999999998,0.01,0.43841363569363523,42.84136356936352
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,293.15,5.64,5.287683631727014,0.06246744118315346
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,2.2369925968335003,0.6193639482449715
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.063384652823913,0.05441423089478501
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.6782281642927583,0.8385080139851713
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.273341725317987,0.059230128470972324
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.8553637141083623,0.9233283919913257
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,2.2366384902536685,0.3466303153705449
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,2.009434215311889,3.3448635421946418
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.493262997595622,0.07295766654440859
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.836791634274832,0.09046516817156032
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.353241938594327,0.01016824436589431
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.16073669092181,0.20925242162413812
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.356135195826191,0.15765187751864937
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.1046546967293347,0.22787905928993887
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.831125596077268,0.15152594305008757
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.731202061308471,0.08304924317033298
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.823954989293184,0.5384671900806423
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.974829111399107,0.20049068038806409
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.190105150601685,0.1956284133736388
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.8194981556909358,0.0076761843183033125
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.4016576538827716,0.3237103630579819
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.73619106740309,0.23814194629389168
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,13.419412098137936,0.031090288641755247
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.339438057952478,0.07838333198844588
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.689606729244046,0.0008548524237734346
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.169237645401441,0.04115011760221368
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.478272063125992,0.07419535403934847
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,4.420756554946154,0.3355473507807398
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,4.3930238551899174,0.09898871452288756
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.24090358315365,0.04137172306013066
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.759861566398664,0.01234941368375377
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,7.497953930363994,0.1273143182943307
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,2.2044580940777263,0.7156717818014127
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.688154775246515,0.08683717992832736
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,2.1885049924799826,0.3463381607899869
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.8429702140013213,0.26307877229018406
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,4.831184637143478,0.07232058324179257
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.195031417000782,0.008773871062980745
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.5497233961020376,0.12525918428189958
