Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,2.2402417571187283,0.6217160226485327
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.088157477070252,0.05262106391008482
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.6847028269259647,0.8429526387179351
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.258283433447124,0.060757774893202374
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.8439284992712026,0.9156258099152984
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,2.238731912024959,0.34789071808308025
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,2.01506270892974,3.357033652831422
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.446268743837885,0.06970316522595026
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.847217513500158,0.08850463296043536
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.322235955465701,0.00590872729798859
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.187697214586645,0.21172964454072798
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.381259620904573,0.16432874509875425
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.1069437070054535,0.2292144934535162
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.841296267132702,0.15231561956537906
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.711850977264231,0.07861946472141955
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.8134463481232097,0.5327421697762703
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.9771702805739304,0.20143545794345968
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.1906638204906193,0.1954232277071702
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.817290635401702,0.008880128905856557
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.4230547241969163,0.33203675171781194
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.741116196750939,0.23852946124019453
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,13.398977503317356,0.032565709265590055
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.343260861405776,0.07882473408351029
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.676721791141922,0.002183484610950062
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.152912896295268,0.042551554679440926
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.509184812235297,0.07634070536399067
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,4.435779535733257,0.34008591831814405
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,4.41243769442744,0.10384541253566815
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.285600192623981,0.036172361935558235
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.705513907743232,0.008037547125593281
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,7.513312794091545,0.12552670255451887
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,2.1991128203161963,0.7115116957542803
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.6704049774618,0.08272231147933863
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,2.193633196798583,0.34949296153030224
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.8372835873249334,0.26120973426987476
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,4.841459732502936,0.07034756933607005
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.1954590128315963,0.008970381918433652
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.5469399554665624,0.12621410713184508
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,10.9204371971607,0.06214055982121099
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,1.619309165816084,0.43057232800946704
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,11.840701125400301,0.027530338977569378
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.14623835718664,0.12444584234743489
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,3.6797673717860397,0.26613037555733554
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,2.218795060863326,1.0764832793154422
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,3.8756764009568623,0.047168787916257865
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,2.1231492724121055,1.238723366191755
EMC,0.455427759,EC,0.303618506,LiPF6,2.088711437,323.15,11.592831,11.96959613373203,0.03249983836838722
EMC,0.417914689,EC,0.417914689,LiPF6,1.292381815,273.15,4.923913000000001,4.951307245313385,0.00556351123859905
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,283.15,4.723978,5.566257242016498,0.17829872239381683
EMC,0.582460253,EC,0.249625823,LiPF6,1.327796397,313.15,11.258126,11.247767354280159,0.0009201039071548968
EMC,0.543419941,EC,0.36227996,LiPF6,0.68507932,233.14999999999998,0.988032,1.422462357451206,0.43969259846969133
EMC,0.49100357,EC,0.327335713,LiPF6,1.460631473,323.15,13.873731,13.279237026753792,0.042850331554374746
EMC,0.362625043,EC,0.362625043,LiPF6,2.492658618,333.15,13.849841999999999,11.953750636696629,0.136903465274432
EMC,0.394610009,EC,0.394610009,LiPF6,1.757293481,303.15,9.365354,8.924724139507981,0.047048927407551115
EMC,0.531928949,EC,0.354619299,LiPF6,0.842018941,313.15,11.808604,10.491829140669529,0.11150978213262737
EMC,0.561357709,EC,0.374238473,LiPF6,0.452935335,313.15,9.501815,8.021534100400894,0.1557892781115089
EMC,0.61944252,EC,0.265475366,LiPF6,0.855692819,263.15,4.038240999999999,3.6333151345023356,0.10027283302251248
EMC,0.634160097,EC,0.271782899,LiPF6,0.683129907,323.15,11.135755000000001,11.572638910397256,0.03923253613223839
EMC,0.601239715,EC,0.257674164,LiPF6,1.080805898,283.15,6.6692160000000005,6.136199259292398,0.07992194895286084
EMC,0.602192252,EC,0.258082394,LiPF6,1.068688481,253.14999999999998,2.722753,2.9378311335776046,0.07899289196544991
EMC,0.545292448,EC,0.363528299,LiPF6,0.66013207,313.15,10.891311,9.592369406459502,0.11926402556501213
