Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.25450269696745925,0.27581445974777763
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.3621482427007867,0.04236439657020371
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.6597001431501204,0.04360749945459793
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.7055752562251525,0.24397517643901825
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.13152305348925106,0.3254363200961608
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.26164142955451786,0.34952768779658094
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.16231088673820268,0.146841281396276
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6609283271363481,0.05418852862950059
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.19974985825545502,0.1027861352795477
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.045402887011259246,0.06579546974786966
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.30794221200831096,0.20570193270333603
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,1.1050240986131146,0.12142038607796042
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.43539234928039644,0.16350651534899058
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.08407495007419803,0.23224832821165545
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,5.1028834726260435,0.14092870831211396
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.9187045611766846,1.0855484360616137
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.9992552787248212,0.2336484922528658
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.32176838813177,0.12861063998620192
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.2617488917776783,25.174889177767827
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.2615155154054012,5.307577577027006
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,8.32176838813177,0.12861063998620192
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,5.008919842348041,0.22820957745022485
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,18.39800417620633,0.028616463769464955
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.136167839765504,0.13761704150005652
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.0922246446738164,0.08636478398523302
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,16.87215310234442,0.02698078994553517
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,0.43683745312898875,2.1202675223499203
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,4.041809772408565,1.0516800875170385
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,7.491069899887005,0.01949346860117727
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,2.2834462683782246,0.2796699468838408
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,8.31001953619094,0.26001606979599834
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,1.7239497633699314,2.380293653666532
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,1.2211198477641367,1.978341092107651
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,233.14999999999998,0.19,0.7247096701533491,2.814261421859732
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,273.15,2.4099999999999997,2.35296367174659,0.023666526246228167
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,313.15,6.2700000000000005,5.654662140757788,0.09814000944851876
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,243.14999999999998,0.71,1.4401047572149583,1.028316559457688
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,263.15,1.9,2.37822882634635,0.2516993822875527
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,233.14999999999998,0.21000000000000002,0.8708423359229465,3.146868266299745
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,213.14999999999998,0.01,0.4384140257923967,42.84140257923967
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,293.15,5.64,5.287688504020459,0.06246657730133695
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,2.2402417571187283,0.6217160226485327
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.088157477070252,0.05262106391008482
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.6847028269259647,0.8429526387179351
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.258283433447124,0.060757774893202374
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.8439284992712026,0.9156258099152984
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,2.238731912024959,0.34789071808308025
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,2.01506270892974,3.357033652831422
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.446268743837885,0.06970316522595026
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,4.847217513500158,0.08850463296043536
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.322235955465701,0.00590872729798859
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.187697214586645,0.21172964454072798
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.381259620904573,0.16432874509875425
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,2.1069437070054535,0.2292144934535162
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,14.841296267132702,0.15231561956537906
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.711850977264231,0.07861946472141955
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.8134463481232097,0.5327421697762703
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.9771702805739304,0.20143545794345968
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.1906638204906193,0.1954232277071702
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.817290635401702,0.008880128905856557
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.4230547241969163,0.33203675171781194
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.741116196750939,0.23852946124019453
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,13.398977503317356,0.032565709265590055
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.343260861405776,0.07882473408351029
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.676721791141922,0.002183484610950062
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.152912896295268,0.042551554679440926
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,15.509184812235297,0.07634070536399067
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,4.435779535733257,0.34008591831814405
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,4.41243769442744,0.10384541253566815
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.285600192623981,0.036172361935558235
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.705513907743232,0.008037547125593281
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,7.513312794091545,0.12552670255451887
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,2.1991128203161963,0.7115116957542803
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.6704049774618,0.08272231147933863
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,2.193633196798583,0.34949296153030224
