Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.4938137522328168,0.08137511906947922
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.98162730335986,0.06033219076717224
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,1.4105232782051393,0.03172612943617981
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.6164425288835,0.024422945855175307
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,1.7948467431516568,0.20898072750592364
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.4383336694669293,0.13401127121681158
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,0.6406667190573634,0.38527026618671617
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.245141123337055,0.05577443875924724
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,5.221867786430013,0.0180534953573527
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.351466969840221,0.009924404018315215
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,13.10588864398046,0.2042127999720362
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,3.5463118963550078,0.05756032801377242
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,1.909894545310473,0.11425381146045496
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,13.944219277205724,0.08266430280440304
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.181089873653561,0.04288040024330109
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,1.7081699007618205,0.06940324567172786
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.406417034374721,0.028891706140642178
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.5282356031279205,0.07144144065659995
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.913957252152867,0.04384022460674694
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,2.3076141999956783,0.10202226641255586
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.308128304956027,0.20446146671900742
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,12.267858357789692,0.11423488499327093
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.772923708156679,0.1284359900751218
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.827323377217786,0.01334581891494461
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.472777713415136,0.015091995485188399
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,14.791555727078597,0.026537095112475977
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,3.631466717202126,0.09709632125779975
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,3.5939349125664037,0.10091680814022652
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.345481462796634,0.029206635632931882
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.927172931491453,0.0256236613292256
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,8.13437373225506,0.05324151739125418
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,1.1504981472895444,0.10459753731663346
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.087003653530717,0.05252540965298478
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,1.7869526876001374,0.09930870759222098
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.3470370336076707,0.1000791553929808
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,5.22332822453211,0.002978450381822057
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.5330747155616606,0.1641289353390539
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.8133733214652925,0.03480805882694044
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.218378056313437,0.03655306343013024
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,0.9540521394697501,0.15714638129908087
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,12.20790371819589,0.002627789089396087
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.702783606881482,0.07116869295965181
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,2.841852929545638,0.022178319055559073
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,1.2536190769051894,0.1732129288279648
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,3.5934714870688294,0.029080141831123427
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,0.8843512752185502,0.06750887020582555
EMC,0.455427759,EC,0.303618506,LiPF6,2.088711437,323.15,11.592831,12.305111123154855,0.06144143075620226
EMC,0.417914689,EC,0.417914689,LiPF6,1.292381815,273.15,4.923913000000001,4.9985358761488365,0.015155197938882325
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,283.15,4.723978,5.070507503670661,0.07335544400728815
EMC,0.582460253,EC,0.249625823,LiPF6,1.327796397,313.15,11.258126,11.57926520599633,0.028525103200686314
EMC,0.543419941,EC,0.36227996,LiPF6,0.68507932,233.14999999999998,0.988032,1.211220200757813,0.22589167229180127
EMC,0.49100357,EC,0.327335713,LiPF6,1.460631473,323.15,13.873731,13.381019585343909,0.03551398067730236
EMC,0.362625043,EC,0.362625043,LiPF6,2.492658618,333.15,13.849841999999999,13.59674642416508,0.018274257268416447
EMC,0.394610009,EC,0.394610009,LiPF6,1.757293481,303.15,9.365354,9.135030315940107,0.02459316370314389
EMC,0.531928949,EC,0.354619299,LiPF6,0.842018941,313.15,11.808604,10.761259402610227,0.0886933457494022
EMC,0.561357709,EC,0.374238473,LiPF6,0.452935335,313.15,9.501815,7.839746350733428,0.1749211755087394
EMC,0.61944252,EC,0.265475366,LiPF6,0.855692819,263.15,4.038240999999999,3.9629416232187746,0.018646578245633354
EMC,0.634160097,EC,0.271782899,LiPF6,0.683129907,323.15,11.135755000000001,11.206383612687707,0.006342507776770055
EMC,0.601239715,EC,0.257674164,LiPF6,1.080805898,283.15,6.6692160000000005,6.63401432968893,0.0052782321506861475
EMC,0.602192252,EC,0.258082394,LiPF6,1.068688481,253.14999999999998,2.722753,2.736211589254982,0.004943007777415767
EMC,0.545292448,EC,0.363528299,LiPF6,0.66013207,313.15,10.891311,9.728759739253917,0.10674116832639184
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,293.15,7.767348,6.839877016312798,0.11940638988844099
EMC,0.56604949,EC,0.242592638,LiPF6,1.557051579,323.15,12.971319,13.289669446441419,0.024542642613401115
EMC,0.558089661,EC,0.372059774,LiPF6,0.49411749,233.14999999999998,0.7951619999999999,1.1867191127670227,0.4924243270767753
EMC,0.653303178,EC,0.279987076,LiPF6,0.470311479,263.15,3.57935,3.298352314503847,0.07850522734467233
EMC,0.652975576,EC,0.279846675,LiPF6,0.473848576,323.15,9.422562000000001,9.085959665536748,0.03572301614606013
EMC,0.603026775,EC,0.258440047,LiPF6,1.058103792,273.15,5.353728,5.210778679475248,0.02670089338209791
EMC,0.456996076,EC,0.30466405,LiPF6,2.05896287,273.15,3.63416,3.667177680632086,0.009085367906775122
