Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.24439154518818312,0.3045856672874115
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.2539148363194954,0.04045966456699104
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.5799201213209213,0.0065576038209718196
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.6137537436506212,0.08208786350106174
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.13037418885699362,0.3313286890268311
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.29314867643364145,0.27119685248688835
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.12549746908709103,0.340344556880839
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.6493360945894822,0.07077741742645238
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.09705681283598347,0.46416528920354505
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.013895772509055559,0.6738081570644235
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.28567705635825236,0.26313209138656213
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,0.989702252717311,0.004387400905957042
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.3703194925986447,0.2885271334923261
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.06721075436554812,0.3862479968080129
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,5.989582107949947,0.008347156220529759
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,1.3969454918617654,0.5184190128932232
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,0.6191533395296295,0.23561316107453145
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.437924342656142,0.011735670926058284
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,0.4983820937282155,48.83820937282155
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,0.0870893774480203,0.5645531127598985
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,9.437924342656142,0.011735670926058284
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,5.9945541960865025,0.07633987733644032
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,16.91534709481353,0.10689825264976072
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.59558060157601,0.18917851869539956
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.1545601248665833,0.05914405027660118
