Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.35461893029720076,0.009065541076679673
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.0953467303352855,0.1618016322971643
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.4243231468410888,0.10439586100843976
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.35984101488397435,0.3655768310596121
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.18740024153927853,0.03884989593907668
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.32153496512055024,0.20062509759132086
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.22711581256752228,0.19379444915043223
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.5652248166524624,0.19114358767240403
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.21447580669056485,0.18408567613985857
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.042908023912208416,0.007230608267803227
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.41061196902605734,0.05912174650961032
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,0.8053297134560214,0.1827208480635152
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.5230985858201623,0.004998272459134912
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.120757755127974,0.10272998436620162
