Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,7.082695256866806,0.19237293886646561
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,2.564007208314926,1.7869643568640499
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,-0.21045110876660983,1.2598161836624813
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,10.004607892776393,0.0476029207095701
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,-4.399764907676526,440.9764907676526
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.4255612882927946,6.127806441463973
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,10.004607892776393,0.0476029207095701
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,6.931459638348069,0.06802151592420164
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,15.510024182633785,0.18109692805523828
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.511598087359248,0.17975287175749136
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.642177343224272,0.153789232849027
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,15.051152316555797,0.13199813630012705
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,-2.979282724672197,22.280590890515697
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,5.759511695932495,1.9236099979352765
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,9.501310075553231,0.2436269732399518
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,3.4019643190953777,0.0731748640679425
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,8.137644073277569,0.2753656212575629
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,2.1969749094193127,3.307793940037868
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,0.9267074351428793,1.260262036933852
