Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.005730520034303,0.2719494252691809
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.718313886884184,0.07939198469125684
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.2465165099155726,0.5421533766599206
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.919868168527762,0.006359236930928902
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.3954604671145603,0.6135447493185415
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.0053325474942005,0.3947116213086157
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,0.8998450155178079,0.9456739473016594
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,14.249242387958528,0.01319471147024923
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,5.390618607474494,0.013679264960864804
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,8.126352830229196,0.11637610188298837
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,12.81212246444083,0.17722058271685698
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.839338795234476,0.2860642267530669
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,0.9471023069165623,0.44744993491082136
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,13.68227082502307,0.06232596526716827
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,5.247302283672833,0.20119299352987172
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.3679151207942524,0.2900204628082989
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.504821781928248,0.010819476559324455
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,1.8382191121579272,0.3248674734146185
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,0.8176412641772328,0.554072150834882
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.5113695233121502,0.3664032949432249
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,14.499279133142885,0.14082026640837875
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,12.372329954979039,0.10669181646406832
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,10.000710776011946,0.1547375486585613
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.923682988606634,0.023281953665483673
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.419967517688395,0.019625612869794536
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,14.276686778108179,0.009194918814371102
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,4.905075690608532,0.4818641928250278
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,4.876611966068872,0.2199664041171631
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.804839828589001,0.02422851431805629
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.360700797795053,0.019319438518023875
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,8.325804108045519,0.030960965983843895
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,0.9890839272128839,0.23022198139701394
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,5.197527536917473,0.20492313962185268
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,0.9847065008161607,0.39422210879927905
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.9698743053754475,0.3047886620383375
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,5.3844219891197564,0.03391151976341643
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,1.8425182206175577,0.15323114579558358
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.1482697196017275,0.26298703232681675
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.189640808354063,0.03902105063584985
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,-0.48727491605632917,1.4304811124143868
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,11.427203204071525,0.06149067452944579
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.785509413186016,0.06324948936726092
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,3.805561544652054,0.3094134984403089
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,0.997454705265002,0.06652126016929534
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,4.004987243039053,0.08210727703630068
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,0.9541070322900698,0.0060440567181439826
EMC,0.455427759,EC,0.303618506,LiPF6,2.088711437,323.15,11.592831,11.56249780596983,0.0026165475913666227
EMC,0.417914689,EC,0.417914689,LiPF6,1.292381815,273.15,4.923913000000001,5.507085216445373,0.11843674257554349
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,283.15,4.723978,6.241503068371437,0.32123880940415844
EMC,0.582460253,EC,0.249625823,LiPF6,1.327796397,313.15,11.258126,11.504938867507509,0.021923086267422114
EMC,0.543419941,EC,0.36227996,LiPF6,0.68507932,233.14999999999998,0.988032,-0.42937882982099207,1.4345798818469364
EMC,0.49100357,EC,0.327335713,LiPF6,1.460631473,323.15,13.873731,12.920574625190994,0.06870223841077826
EMC,0.362625043,EC,0.362625043,LiPF6,2.492658618,333.15,13.849841999999999,11.468506827129056,0.17193951908411248
EMC,0.394610009,EC,0.394610009,LiPF6,1.757293481,303.15,9.365354,9.562881791866745,0.021091332144705422
EMC,0.531928949,EC,0.354619299,LiPF6,0.842018941,313.15,11.808604,10.745656433139844,0.09001466785236903
EMC,0.561357709,EC,0.374238473,LiPF6,0.452935335,313.15,9.501815,8.164371765987111,0.14075660639708196
EMC,0.61944252,EC,0.265475366,LiPF6,0.855692819,263.15,4.038240999999999,3.7587655958220174,0.06920721278843485
EMC,0.634160097,EC,0.271782899,LiPF6,0.683129907,323.15,11.135755000000001,11.278210323328123,0.012792605739630728
EMC,0.601239715,EC,0.257674164,LiPF6,1.080805898,283.15,6.6692160000000005,6.918119136774623,0.03732119888973789
EMC,0.602192252,EC,0.258082394,LiPF6,1.068688481,253.14999999999998,2.722753,2.470181429819,0.09276330617613858
EMC,0.545292448,EC,0.363528299,LiPF6,0.66013207,313.15,10.891311,9.837087591338182,0.09679490454930702
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,293.15,7.767348,6.916804463335528,0.10950243721080502
EMC,0.56604949,EC,0.242592638,LiPF6,1.557051579,323.15,12.971319,12.801275638702247,0.013109180438608621
EMC,0.558089661,EC,0.372059774,LiPF6,0.49411749,233.14999999999998,0.7951619999999999,-0.3680289331123973,1.4628351620328908
EMC,0.653303178,EC,0.279987076,LiPF6,0.470311479,263.15,3.57935,2.9021823061261975,0.18918733677170502
EMC,0.652975576,EC,0.279846675,LiPF6,0.473848576,323.15,9.422562000000001,9.461921715028346,0.004177177611391161
EMC,0.603026775,EC,0.258440047,LiPF6,1.058103792,273.15,5.353728,5.419763340876349,0.012334459441411436
EMC,0.456996076,EC,0.30466405,LiPF6,2.05896287,273.15,3.63416,4.931452011629951,0.35697162800480753
