Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,293.19371728,0.351433,0.35461893029720076,0.009065541076679673
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,293.31184528999995,1.306787,1.0953467303352855,0.1618016322971643
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,303.71297454999996,1.590349,1.4243231468410888,0.10439586100843976
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,263.291139241,0.567194,0.35984101488397435,0.3655768310596121
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,263.10083123,0.194975,0.18740024153927853,0.03884989593907668
DMC,0.660265667,EC,0.330132833,LiTDI,0.050486435,263.195950832,0.402233,0.32153496512055024,0.20062509759132086
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,292.83990345999996,0.190247,0.22711581256752228,0.19379444915043223
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,262.91079812,0.6987949999999999,0.5652248166524624,0.19114358767240403
DMC,0.666026567,EC,0.333013283,LiTDI,0.005004975,323.41181696999996,0.181132,0.21447580669056485,0.18408567613985857
DMC,0.666410627,EC,0.333205313,LiTDI,0.002000836,263.10083123,0.0426,0.042908023912208416,0.007230608267803227
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,303.20699707999995,0.387691,0.41061196902605734,0.05912174650961032
DMC,0.577052667,EC,0.288526333,LiTDI,0.808734567,283.048211509,0.985379,0.8053297134560214,0.1827208480635152
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.5230985858201623,0.004998272459134912
DMC,0.665386467,EC,0.332693233,LiTDI,0.010019579,262.91079812,0.109508,0.120757755127974,0.10272998436620162
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,293.15,5.94,7.082695256866806,0.19237293886646561
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,263.15,0.92,2.564007208314926,1.7869643568640499
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,243.14999999999998,0.8099999999999999,-0.21045110876660983,1.2598161836624813
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,10.004607892776393,0.0476029207095701
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,213.14999999999998,0.01,-4.399764907676526,440.9764907676526
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,263.15,0.2,1.4255612882927946,6.127806441463973
EC,0.599647991,PC,0.222443446,LiAsF6,1.104976779,313.15,9.549999999999999,10.004607892776393,0.0476029207095701
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,293.15,6.49,6.931459638348069,0.06802151592420164
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,353.15,18.939999999999998,15.510024182633785,0.18109692805523828
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,333.15,8.91,10.511598087359248,0.17975287175749136
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,263.15,2.29,2.642177343224272,0.153789232849027
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,353.15,17.34,15.051152316555797,0.13199813630012705
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,223.14999999999998,0.13999999999999999,-2.979282724672197,22.280590890515697
EC,0.509078557,PC,0.188846107,LiAsF6,2.209953548,293.15,1.97,5.759511695932495,1.9236099979352765
EC,0.550664065,PC,0.20427253,LiAsF6,1.657465165,313.15,7.64,9.501310075553231,0.2436269732399518
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,273.15,3.17,3.4019643190953777,0.0731748640679425
EC,0.44227793,PC,0.164065966,LiAsF6,3.314930335,353.15,11.23,8.137644073277569,0.2753656212575629
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,273.15,0.51,2.1969749094193127,3.307793940037868
EC,0.218077315,PC,0.458417711,LiAsF6,2.441702674,253.14999999999998,0.41,0.9267074351428793,1.260262036933852
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,233.14999999999998,0.19,0.253922429004866,0.3364338368677158
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,273.15,2.4099999999999997,2.4934130846538602,0.03461123844558529
EC,0.660770979,PC,0.245117428,LiBF4,1.104976779,313.15,6.2700000000000005,6.274704000641441,0.0007502393367529413
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,243.14999999999998,0.71,0.5765710344420806,0.1879281205041118
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,263.15,1.9,1.5665949632160339,0.17547633514945582
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,233.14999999999998,0.21000000000000002,0.02856716707689613,0.8639658710623994
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,213.14999999999998,0.01,-0.1257684243342345,13.57684243342345
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,293.15,5.64,5.248596512809091,0.06939778141682774
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.005730520034303,0.2719494252691809
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.718313886884184,0.07939198469125684
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,2.2465165099155726,0.5421533766599206
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.919868168527762,0.006359236930928902
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,2.3954604671145603,0.6135447493185415
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.0053325474942005,0.3947116213086157
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,0.8998450155178079,0.9456739473016594
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,14.249242387958528,0.01319471147024923
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,5.390618607474494,0.013679264960864804
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,8.126352830229196,0.11637610188298837
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,12.81212246444083,0.17722058271685698
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,4.839338795234476,0.2860642267530669
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,0.9471023069165623,0.44744993491082136
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,13.68227082502307,0.06232596526716827
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,5.247302283672833,0.20119299352987172
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,2.3679151207942524,0.2900204628082989
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.504821781928248,0.010819476559324455
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,1.8382191121579272,0.3248674734146185
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,0.8176412641772328,0.554072150834882
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,3.5113695233121502,0.3664032949432249
