Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.944083135903615,0.06304980426497689
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,13.03849512660977,0.02945847444830543
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.506620153524855,0.11798284075662176
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.406882891326774,0.08010090230743024
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.38623034551431,0.02807822832028885
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,10.93241646040408,0.000989823328554301
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.23322598106588,0.027620463071072247
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.7612047645799,0.06796671974614027
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.607561317689134,0.06057811181018076
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.442310987382104,0.24417411556371757
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.497803101085161,0.01294363130974782
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.381814967384994,0.033453021104593764
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.546061763252606,0.09742832224815824
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.312804475407097,0.28047557087096886
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.29521587183713,0.029827875670161912
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.756754213307817,0.08693328139333584
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,10.980501380908466,0.07583068422043662
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.825318402260283,0.017542666687423037
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.23101641126952,0.035658264580877695
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.228566608989189,0.03567805905656936
