Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,3.2478728792278226,0.23036187696023155
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,12.572371540148827,0.012382439894043442
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,14.460102954128063,0.004125140900271129
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,17.272407727136372,0.29091238618358545
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,7.251359992341436,0.1199805834537093
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,6.821930310504517,0.1231452043053319
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,13.061347195558822,0.09484773419550781
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.944083135903615,0.06304980426497689
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,13.03849512660977,0.02945847444830543
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.506620153524855,0.11798284075662176
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.406882891326774,0.08010090230743024
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.38623034551431,0.02807822832028885
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,10.93241646040408,0.000989823328554301
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.23322598106588,0.027620463071072247
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.7612047645799,0.06796671974614027
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.607561317689134,0.06057811181018076
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.442310987382104,0.24417411556371757
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.497803101085161,0.01294363130974782
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.381814967384994,0.033453021104593764
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.546061763252606,0.09742832224815824
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.312804475407097,0.28047557087096886
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.29521587183713,0.029827875670161912
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.756754213307817,0.08693328139333584
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,10.980501380908466,0.07583068422043662
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.825318402260283,0.017542666687423037
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.23101641126952,0.035658264580877695
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.228566608989189,0.03567805905656936
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,338.15,1.35,1.30042734092603,0.03672048820294075
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,323.15,0.7060000000000001,0.6223091095819527,0.11854233770261662
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,338.15,1.22,1.0279091408399461,0.1574515239016835
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,353.15,2.0799999999999996,2.210403641086907,0.06269405821485934
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,313.15,0.465,0.4251414618286088,0.08571728639008867
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,338.15,0.808,0.8186049352829409,0.013124919904629726
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,328.15,0.598,0.62101035632954,0.03847885673836132
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,343.15,1.08,1.0638858294033438,0.014920528330237331
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,353.15,1.4400000000000002,1.4671508199708976,0.018854736090900978
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,318.15,0.37,0.38547400303807994,0.04182162983264849
PEGDM-400,0.605403983,,,LiTFSI,2.27014756,338.15,2.87,2.9061522585156587,0.012596605754584884
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,328.15,2.3600000000000003,2.365596068107696,0.0023712152998710337
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,343.15,3.54,3.505958458213867,0.009616254741845496
PEGDM-400,0.605403983,,,LiTFSI,2.27014756,353.15,4.37,4.5731253460202534,0.046481772544680396
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,318.15,1.73,1.7463307396174124,0.00943973388289733
PEGDME,0.992811622,,,LiPDI,0.029897843,295.04616999999996,0.02,0.010244352882429033,0.4877823558785484
PEGDME,0.992811622,,,LiPDI,0.029897843,333.23335999999995,0.058499999999999996,0.0384818717692705,0.34219022616631617
PEGDME,0.977867066,,,LiPDI,0.093461975,333.06687999999997,0.12000000000000001,0.13581842882547437,0.13182024021228636
PEGDME,0.992811622,,,LiPDI,0.029897843,323.00784999999996,0.0455,0.029109906567385456,0.3602218336838361
PEGDME,0.977867066,,,LiPDI,0.093461975,295.04616999999996,0.0436,0.038954674748324314,0.10654415714852492
PEGDME,0.994288122,,,LiTDI,0.029897843,295.04616999999996,0.0195,0.012605042761768161,0.35358755067855585
PEGDME,0.994288122,,,LiTDI,0.029897843,333.31111,0.0513,0.0434123126793435,0.15375608812195904
PEGDME,0.98235865,,,LiTDI,0.093461975,333.14455,0.14300000000000002,0.15094861381158256,0.0555847119691087
PEGDME,0.994288122,,,LiTDI,0.029897843,322.93483,0.0401,0.03328171268681446,0.17003210257320547
PEGDME,0.98235865,,,LiTDI,0.093461975,295.15939,0.0494,0.040922849346555976,0.1716022399482596
