Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.72716482385039,0.0787513145846254
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.834187992829651,0.013327340585246199
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.265622722120337,0.1382142631099892
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.390085608381323,0.0811734317047858
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.346257946187361,0.031214779481410018
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.256834996936734,0.030694111922434576
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.736020320716149,0.020155959345887826
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.942063091736944,0.05654719250498395
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.786229115988105,0.04908786803940949
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.21062081356664,0.22100615927456924
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.583993608977693,0.005544401301369819
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.534990304393581,0.04736112936710303
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.543927298474797,0.09761099778134373
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.185245670534327,0.2660374239159716
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.216760813007523,0.023750862152749463
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.938532293960623,0.07568585440382909
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.29008907530069,0.10616299141938695
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.858447863890943,0.0201711114305679
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.398325488635729,0.016056417377924882
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.450489618013497,0.016619061211643815
