Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,313.25301205,1.009867,1.3500718249541108,0.33688082188457563
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.45281613272302956,0.13003123414154247
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,313.25301205,1.842716,2.002173468533903,0.08653393606714392
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.5694352830834026,0.35782386501610286
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,5.042365826134786,0.19487341851535211
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,12.313533870259857,0.03271532833779605
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,16.620210027355814,0.1446425638674803
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,18.04359833873557,0.34854995057814436
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,7.612544344805793,0.07614753097017082
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.627223721885222,0.019637053742259342
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,12.7519866569509,0.11628644095974361
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.72716482385039,0.0787513145846254
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.834187992829651,0.013327340585246199
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.265622722120337,0.1382142631099892
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.390085608381323,0.0811734317047858
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.346257946187361,0.031214779481410018
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.256834996936734,0.030694111922434576
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.736020320716149,0.020155959345887826
