Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.731537146540504,0.07843482645971875
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.838569726680618,0.013673301756520345
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.263810513256354,0.13836639569790138
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.38878104221984,0.08125673003127884
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.349872464812975,0.03093115571143479
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.25419590422068,0.030452472303128243
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.73354767279445,0.019921003893370797
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.940214302996417,0.056663926380152815
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.784237402801963,0.04921595642605839
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.214881866222663,0.22143224502544417
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.581504351939332,0.0057580975171964205
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.532439655811299,0.0471295340116444
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.547533848837155,0.09730233562057464
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.18913579926126,0.26647774044519384
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.22102160179012,0.024080896587914655
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.936677176107668,0.07580063888462628
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.287451728330035,0.10590459349223041
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.86220669335991,0.020469331657272178
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.396653352913152,0.016252323956650536
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.447888587123968,0.016842440672548187
