Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.87440166914915,0.06809365814239886
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.979012823736909,0.024762030558304872
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,9.947201008434225,0.16494535372171265
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,15.104848013567558,0.035534878483032176
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,11.957688341570986,0.06170502938027469
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,10.198121421636813,0.06624342412308112
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,9.693393627094245,0.0789163042208165
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,15.60552849450903,0.014655501037873905
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,15.356676304643699,0.012402033667420818
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.312372643968095,0.23118087631267434
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,10.828677328711855,0.0703863313863843
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,10.685256438119119,0.029793527755036957
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.238944863684761,0.12371254298682016
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.064974882962087,0.2524241942601021
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.221438082599189,0.024113156579102086
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,15.598546680574167,0.034847797368566365
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,10.245394062925314,0.003807469483056946
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.494647588920628,0.00869228909675718
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,7.6724675177070205,0.10109757151714159
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,10.507917258845872,0.09756823651817721
