Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,313.25301205,1.009867,1.3470357626487175,0.3338744237099711
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.3795611524345275,0.2707716808463305
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,313.25301205,1.842716,2.0209484505026527,0.0967226911269304
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.5719713226971839,0.36001796320373447
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,4.67052290352877,0.10675898187885553
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,13.048402934810412,0.025012013732161126
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,12.779734093601785,0.11985302385662633
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,16.062764769403877,0.20050558814677716
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,7.244661983064432,0.12079344865722912
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.195556921740078,0.07512121828533695
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,12.83986746046168,0.1101962951863008
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,353.15,16.88,18.548379651110658,0.09883765705631864
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,353.15,19.349999999999998,20.2290232289022,0.04542755704920942
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.87440166914915,0.06809365814239886
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.979012823736909,0.024762030558304872
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,9.947201008434225,0.16494535372171265
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,15.104848013567558,0.035534878483032176
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,11.957688341570986,0.06170502938027469
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,10.198121421636813,0.06624342412308112
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,9.693393627094245,0.0789163042208165
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,15.60552849450903,0.014655501037873905
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,15.356676304643699,0.012402033667420818
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.312372643968095,0.23118087631267434
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,10.828677328711855,0.0703863313863843
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,10.685256438119119,0.029793527755036957
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.238944863684761,0.12371254298682016
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.064974882962087,0.2524241942601021
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.221438082599189,0.024113156579102086
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,15.598546680574167,0.034847797368566365
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,10.245394062925314,0.003807469483056946
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.494647588920628,0.00869228909675718
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,7.6724675177070205,0.10109757151714159
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,10.507917258845872,0.09756823651817721
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,338.15,1.35,1.2298207756928317,0.08902164763493957
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,323.15,0.7060000000000001,0.8912007735040678,0.26232404179046415
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,338.15,1.22,1.0602746730287782,0.13092239915673917
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,353.15,2.0799999999999996,1.6542926098118877,0.20466701451351535
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,313.15,0.465,0.7853959680768593,0.6890235872620629
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,338.15,0.808,0.7177242178847254,0.11172745311296367
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,328.15,0.598,0.7776888008359298,0.3004829445416887
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,343.15,1.08,0.9531359100945835,0.1174667499124227
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,353.15,1.4400000000000002,1.001544047655286,0.30448330023938486
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,318.15,0.37,0.6711309138286817,0.8138673346721128
PEGDM-400,0.605403983,,,LiTFSI,2.27014756,338.15,2.87,2.6988344417173185,0.059639567345882105
