Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.782924027971637,0.07471521587706069
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.876877149448765,0.016697876342774545
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.485842737074687,0.11972707796763819
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.278983532078836,0.08826745062014442
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.361884728632235,0.029988578316422314
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.049724846648628,0.011730769874744371
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.391307402406788,0.012599282109667528
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.867217065551316,0.06127302541715568
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.787811289819746,0.04898611739835174
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.311458949620015,0.2310895110623948
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.49304988940641,0.013351682118932433
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.411696944899065,0.0361662632392611
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.63581751942856,0.08974668665202545
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.306274154352558,0.2797364158189692
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.190808603227506,0.021740642136441536
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.866052591694023,0.08017049939808342
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.090935053213983,0.08665058479838181
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.84441419390246,0.019057699853902904
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.509729320067528,0.003004400619922731
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.294730433399705,0.02999583533224191
