Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,313.25301205,1.009867,1.035672696446825,0.025553559475480388
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.3296748938217702,0.3666151892868351
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,313.25301205,1.842716,1.5912171537041995,0.13648269526926587
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.258175582865507,0.08853219448395967
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,3.2277743712246143,0.23512455658184492
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,12.738731438308218,0.0006858946039448013
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,14.857464754871154,0.02324137430242112
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,17.17722842619431,0.2837988360384389
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,7.610074076828411,0.07644732077325109
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.043010193996897,0.09472876683844499
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,13.29803669282894,0.07844513563209003
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.782924027971637,0.07471521587706069
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.876877149448765,0.016697876342774545
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.485842737074687,0.11972707796763819
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.278983532078836,0.08826745062014442
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.361884728632235,0.029988578316422314
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.049724846648628,0.011730769874744371
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.391307402406788,0.012599282109667528
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.867217065551316,0.06127302541715568
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.787811289819746,0.04898611739835174
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.311458949620015,0.2310895110623948
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.49304988940641,0.013351682118932433
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.411696944899065,0.0361662632392611
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.63581751942856,0.08974668665202545
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.306274154352558,0.2797364158189692
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.190808603227506,0.021740642136441536
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.866052591694023,0.08017049939808342
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.090935053213983,0.08665058479838181
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.84441419390246,0.019057699853902904
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.509729320067528,0.003004400619922731
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.294730433399705,0.02999583533224191
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,338.15,1.35,1.3389459635035004,0.008188175182592385
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,323.15,0.7060000000000001,0.6444294852518736,0.08721036083304032
