Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.850126857119095,0.06985077679222451
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.950243325826817,0.02249052582239995
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.338320395536794,0.13211138754644516
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.53986813575266,0.0716096132981023
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.276693146458692,0.03667338484501184
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.164371695414387,0.022228021722664776
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.682207529052581,0.015042571101018615
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.92313887233178,0.0577420815787242
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.715404916785404,0.05364261893160415
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.334471325160836,0.23339064322462388
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.555969597913442,0.007950189464032267
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.483100420450661,0.042649599836949555
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.479592050806762,0.10311705053637803
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.219306866744464,0.2698927481864951
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.246023100255986,0.026017475903502358
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.917307148144076,0.07699914958802251
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.199274455991963,0.0972652962560316
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.763406347374746,0.012630651605035275
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.161570725512075,0.0437944861329347
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.377678618710213,0.022872151798822016
