Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,313.25301205,1.009867,1.4078837530620945,0.39412789314047725
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.46538184917190517,0.1058894687732971
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,313.25301205,1.842716,1.973823034024167,0.07114880102206032
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.6458552796686963,0.423939936348524
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,5.097008996252979,0.20782203702677246
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,12.572381688550754,0.012381642690435679
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,14.719944564082763,0.01377028678255944
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,17.52395764585786,0.3097128285394514
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,6.825462253541899,0.17166720224006077
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.6598662456407425,0.0154413566014469
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,12.724459820077934,0.11819405266265182
EC,0.258429666,PC,0.543241905,LiPF6,1.627801789,353.15,16.88,17.448961570995635,0.03370625420590263
EC,0.624536382,PC,0.231675962,LiPF6,1.104976773,353.15,19.349999999999998,20.014603361191064,0.03434642693493881
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.850126857119095,0.06985077679222451
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.950243325826817,0.02249052582239995
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.338320395536794,0.13211138754644516
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.53986813575266,0.0716096132981023
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.276693146458692,0.03667338484501184
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.164371695414387,0.022228021722664776
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.682207529052581,0.015042571101018615
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.92313887233178,0.0577420815787242
