Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.734809547128247,0.07819795557909956
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.835825338050622,0.013456617690997888
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.29514147265399,0.13573620221983973
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.398565973634218,0.0806319488314199
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.378567306440335,0.02867953108194192
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.252975751611686,0.03034075314671536
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.76808655520468,0.023202950617331
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.901180142998454,0.05912857183186777
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.756271560980961,0.051014458130548224
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.237236096666033,0.22366756569209456
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.553354170118988,0.008174717109763323
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.506987237503706,0.04481848971249052
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.558518381003523,0.0963622379946282
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.215154692836286,0.2694227712442622
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.185224362640074,0.02130809507012669
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.897780895637249,0.0782073266061784
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.2831747996244,0.10548555514633608
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.8514750518451,0.01961789836084894
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.373528686046502,0.018961598275025377
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.429137404156297,0.018452813374963663
