Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,313.25301205,1.009867,1.4620877859474388,0.44780232045154333
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.5165951354083018,0.007496420904823981
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,313.25301205,1.842716,1.836118296111578,0.003580423618409976
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.7542590013760022,0.5177272762772912
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,5.27089750497951,0.24902784478187456
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,11.762616558258951,0.07599241490503134
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,14.70850622736422,0.012982522545745192
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,18.308714714668167,0.36836432845053574
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,6.778723766909641,0.17733934867601447
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.946814218774579,0.021441416294933083
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,13.161043675505846,0.08793876122620607
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.734809547128247,0.07819795557909956
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.835825338050622,0.013456617690997888
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.29514147265399,0.13573620221983973
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.398565973634218,0.0806319488314199
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.378567306440335,0.02867953108194192
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.252975751611686,0.03034075314671536
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.76808655520468,0.023202950617331
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.901180142998454,0.05912857183186777
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.756271560980961,0.051014458130548224
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.237236096666033,0.22366756569209456
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.553354170118988,0.008174717109763323
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.506987237503706,0.04481848971249052
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.558518381003523,0.0963622379946282
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.215154692836286,0.2694227712442622
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.185224362640074,0.02130809507012669
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.897780895637249,0.0782073266061784
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.2831747996244,0.10548555514633608
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.8514750518451,0.01961789836084894
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.373528686046502,0.018961598275025377
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.429137404156297,0.018452813374963663
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,338.15,1.35,1.3085825738620604,0.030679574916992323
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,323.15,0.7060000000000001,0.5841662673992726,0.17256902634663948
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,338.15,1.22,1.00353417486688,0.17743100420747537
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,353.15,2.0799999999999996,2.1470096765735667,0.03221619066036878
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,313.15,0.465,0.3956995822992819,0.1490331563456303
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,338.15,0.808,0.7974829445440993,0.013016157742451434
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,328.15,0.598,0.5409715916900165,0.09536523128759776
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,343.15,1.08,1.018245908289188,0.057179714547048274
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,353.15,1.4400000000000002,1.447867153282224,0.005463300890433243
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,318.15,0.37,0.3432940723312043,0.07217818288863703
PEGDM-400,0.605403983,,,LiTFSI,2.27014756,338.15,2.87,2.8443184624027924,0.008948270939793624
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,328.15,2.3600000000000003,2.2134376524233654,0.06210268965111647
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,343.15,3.54,3.4874329685097636,0.014849443923795606
PEGDM-400,0.605403983,,,LiTFSI,2.27014756,353.15,4.37,4.366691978328868,0.0007569843641034527
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,318.15,1.73,1.5962412200445355,0.0773172138470893
PEGDME,0.992811622,,,LiPDI,0.029897843,295.04616999999996,0.02,0.02012497081722535,0.006248540861267422
