Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.735101407889013,0.07817682940167499
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.839681362474655,0.013761071309490969
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.2780983717919,0.1371669484719573
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.399436940282465,0.08057633642449703
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.365512627329753,0.029703904639992326
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.245054989791754,0.029615515318145828
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.758850522802247,0.022325326207672063
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.918393924808687,0.058041681040632155
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.761670255905264,0.0506672645046411
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.224620872253883,0.2224061010259613
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.565691953324304,0.007115550642807769
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.515138961764823,0.04555865497514881
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.547449916085933,0.09730951890147982
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.196367950289918,0.2672963343435661
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.203075765431809,0.022690838486402187
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.914662092484171,0.07716281107191054
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.276670531734448,0.10484828998587938
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.844131096266684,0.019035239286905203
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.38643756392577,0.017449200647028637
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.431359045719926,0.01826201629646528
