Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,313.25301205,1.009867,1.4805808757084353,0.4661147217489385
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.512787740245045,0.014811343302564579
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,313.25301205,1.842716,1.8366141895730983,0.003311313532254412
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.776098208437251,0.5366218410041222
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,5.862729342310684,0.3892723559977924
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,11.868653169619694,0.06766275179735318
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,14.704910722221053,0.012734898224590434
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,18.050802160306173,0.3490883527882043
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,6.852117937097404,0.1684322891872083
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,8.787659654904687,0.12951923584893152
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,13.11038327560954,0.09144953044978936
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.735101407889013,0.07817682940167499
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.839681362474655,0.013761071309490969
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.2780983717919,0.1371669484719573
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.399436940282465,0.08057633642449703
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.365512627329753,0.029703904639992326
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.245054989791754,0.029615515318145828
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.758850522802247,0.022325326207672063
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.918393924808687,0.058041681040632155
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.761670255905264,0.0506672645046411
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.224620872253883,0.2224061010259613
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.565691953324304,0.007115550642807769
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.515138961764823,0.04555865497514881
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.547449916085933,0.09730951890147982
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.196367950289918,0.2672963343435661
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.203075765431809,0.022690838486402187
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.914662092484171,0.07716281107191054
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.276670531734448,0.10484828998587938
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.844131096266684,0.019035239286905203
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.38643756392577,0.017449200647028637
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.431359045719926,0.01826201629646528
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,338.15,1.35,1.3085714049113712,0.03068784821379914
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,323.15,0.7060000000000001,0.5841646320524639,0.17257134270189253
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,338.15,1.22,1.003533745250176,0.17743135635231472
PEGDM-1000,0.605403983,,,LiTFSI,2.27014756,353.15,2.0799999999999996,2.1469960103003496,0.03220962033670672
PEGDM-1000,0.754207651,,,LiTFSI,1.13507378,313.15,0.465,0.3956977990550385,0.14903699127948716
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,338.15,0.808,0.7974876936102493,0.013010280185335097
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,328.15,0.598,0.5409716014385823,0.09536521498564837
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,343.15,1.08,1.0182456681683825,0.05717993688112741
PEGDM-2500,0.605403983,,,LiTFSI,2.27014756,353.15,1.4400000000000002,1.4478754288727413,0.005469047828292482
PEGDM-2500,0.754207651,,,LiTFSI,1.13507378,318.15,0.37,0.34329414117672363,0.07217799681966584
PEGDM-400,0.605403983,,,LiTFSI,2.27014756,338.15,2.87,2.844325175543804,0.008945931866270445
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,328.15,2.3600000000000003,2.213437624228295,0.06210270159818015
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,343.15,3.54,3.4874329721236785,0.014849442902915679
PEGDM-400,0.605403983,,,LiTFSI,2.27014756,353.15,4.37,4.366702341282582,0.00075461297881425
PEGDM-400,0.754207651,,,LiTFSI,1.13507378,318.15,1.73,1.5962411839013877,0.07731723473908225
PEGDME,0.992811622,,,LiPDI,0.029897843,295.04616999999996,0.02,0.020124972191206004,0.0062486095603001696
PEGDME,0.992811622,,,LiPDI,0.029897843,333.23335999999995,0.058499999999999996,0.057611237969451466,0.01519251334270992
