Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.725511825303599,0.07887096595704826
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.822401000250188,0.012396694887153087
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.468371265649813,0.12119378537390146
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.253720983303808,0.08988049877211862
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.383871709809675,0.028263305565653166
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.094200177984366,0.015803003512886764
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.475704868934251,0.0045796830534370545
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.954851824293517,0.05573970256462401
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.894331708300685,0.042135719136531316
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.253164195338233,0.22526030261196361
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.472830022669315,0.015087504872327347
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.407815113979856,0.03581379837294855
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.642706329988902,0.0891571163038953
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.279830616060838,0.2767433202639681
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.174986693628412,0.02051510027923899
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.954742698928428,0.07468284377850538
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.131047931548565,0.09058070272722038
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.888832236991059,0.02258176472276755
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.635880568063866,0.01177541603206638
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.309407426953438,0.028735358603215824
