Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,313.25301205,1.009867,1.0485288235149706,0.0382840745513721
DMC,0.664106267,EC,0.332053133,LiTDI,0.020077787,323.26820604,0.520497,0.6275654807358446,0.20570431863362254
DMC,0.641062667,EC,0.320531333,LiTDI,0.207995016,313.25301205,1.842716,1.448737559196358,0.21380312582277572
DMC,0.653864667,EC,0.326932333,LiTDI,0.101961343,323.41181696999996,1.1558460000000002,1.4939009730071275,0.2924740605644068
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,4.8590366050788525,0.1514304751371689
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,12.719465414479144,0.0008275401037593488
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,16.002674795555272,0.10211258922556975
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,17.764535683635696,0.32769324989803417
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,7.285847273075615,0.11579523385004675
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.765725515713171,0.0018347666178443137
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,13.201862636646942,0.08511000439037132
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.725511825303599,0.07887096595704826
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,12.822401000250188,0.012396694887153087
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.468371265649813,0.12119378537390146
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.253720983303808,0.08988049877211862
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.383871709809675,0.028263305565653166
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,11.094200177984366,0.015803003512886764
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.475704868934251,0.0045796830534370545
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.954851824293517,0.05573970256462401
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.894331708300685,0.042135719136531316
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.253164195338233,0.22526030261196361
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.472830022669315,0.015087504872327347
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.407815113979856,0.03581379837294855
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.642706329988902,0.0891571163038953
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.279830616060838,0.2767433202639681
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.174986693628412,0.02051510027923899
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.954742698928428,0.07468284377850538
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,11.131047931548565,0.09058070272722038
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.888832236991059,0.02258176472276755
EMC,0.652363286,EC,0.279584265,LiPF6,0.480468939,313.15,8.535373,8.635880568063866,0.01177541603206638
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.309407426953438,0.028735358603215824
PEGDME,0.992811622,,,LiPDI,0.029897843,295.04616999999996,0.02,0.01049469584314377,0.4752652078428115
PEGDME,0.992811622,,,LiPDI,0.029897843,333.23335999999995,0.058499999999999996,0.03897865855678882,0.3336981443283962
PEGDME,0.977867066,,,LiPDI,0.093461975,333.06687999999997,0.12000000000000001,0.13992353108661587,0.16602942572179882
PEGDME,0.992811622,,,LiPDI,0.029897843,323.00784999999996,0.0455,0.03135141379632655,0.31095793854227366
PEGDME,0.977867066,,,LiPDI,0.093461975,295.04616999999996,0.0436,0.03779370849286856,0.13317182355806054
PEGDME,0.994288122,,,LiTDI,0.029897843,295.04616999999996,0.0195,0.009034360434706838,0.5366994648868288
PEGDME,0.994288122,,,LiTDI,0.029897843,333.31111,0.0513,0.04269949304481086,0.16765120770349196
PEGDME,0.98235865,,,LiTDI,0.093461975,333.14455,0.14300000000000002,0.15614138834198502,0.09189782057332167
PEGDME,0.994288122,,,LiTDI,0.029897843,322.93483,0.0401,0.03357053996250141,0.16282942736904213
PEGDME,0.98235865,,,LiTDI,0.093461975,295.15939,0.0494,0.033515670191440805,0.3215451378250849
PEGDME,0.849512086,,,Lithium Trifluoromethanesulfonate (Lithium triflate),1.135785908,423.15,2.702825,2.763042756073966,0.022279561597205254
PEGDME,0.849512086,,,Lithium Trifluoromethanesulfonate (Lithium triflate),1.135785908,353.15,0.9913159999999999,1.0958191664427197,0.10541862175403187
PEGDME,0.849512086,,,Lithium Trifluoromethanesulfonate (Lithium triflate),1.135785908,343.15,0.613591,0.8635216767742212,0.4073245480690251
PEGDME,0.5,,,TPSB-,1.228679857,423.15,0.0187,0.01798017414816294,0.0384933610608055
PEGDME,0.5,,,TPSB-,1.228679857,353.15,0.0121,0.010163518998795508,0.16003975216566046
PEGDME,0.5,,,TPSB-,1.228679857,343.15,0.00974,0.009046853940712944,0.07116489315062181
